ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:8.2.1,AllergieIntolerantie,rootconcept,,,,,,,,,
NL-CM:8.2.2,VeroorzakendeStof,CD,1,,VeroorzakendeStofAllergeneStoffenCodelijst; VeroorzakendeStofHPKCodelijst; VeroorzakendeStofSNKCodelijst; VeroorzakendeStofSSKCodelijst; VeroorzakendeStofThesaurus122Codelijst,,,,,,
NL-CM:8.2.4,AllergieCategorie,CD,0..1,,AllergieCategorieCodelijst,,,,,,
NL-CM:8.2.5,AllergieStatus,CD,0..1,,AllergieStatusCodelijst,,,,,,
NL-CM:8.2.6,BeginDatumTijd,TS,0..1,,,,,,,,
NL-CM:8.2.7,MateVanKritiekZijn,CD,0..1,SNOMED CT: 246112005 Ernst,MateVanKritiekZijnCodelijst,,,,,,
NL-CM:8.2.8,LaatsteReactieDatumTijd,TS,0..1,,,,,,,,
NL-CM:8.2.9,Toelichting,ST,0..1,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
NL-CM:8.2.10,Reactie,container,0..*,,,,,,,,
NL-CM:8.2.11,Symptoom,CD,1..*,,SymptoomCodelijst,,,,,,
NL-CM:8.2.12,SpecifiekeStof,CD,0..1,,SpecifiekeStofAllergeneStoffenCodelijst; SpecifiekeStofHPKCodelijst; SpecifiekeStofSNKCodelijst; SpecifiekeStofSSKCodelijst; SpecifiekeStofThesaurus122Codelijst,,,,,,
NL-CM:8.2.13,ReactieBeschrijving,ST,0..1,,,,,,,,
NL-CM:8.2.14,Ernst,CD,0..1,,ErnstCodelijst,,,,,,
NL-CM:8.2.15,WijzeVanBlootstelling,CD,0..1,,WijzeVanBlootstellingCodelijst,,,,,,
NL-CM:8.2.17,ReactieTijdstip,TS,0..1,,,,,,,,
