ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:4.2.1,BarthelIndex,rootconcept,,SNOMED CT: 273302005 Barthel-index,,,,,,,
NL-CM:4.2.4,Darm,CO,1,,DarmCodelijst,,,,,,
NL-CM:4.2.3,Blaas,CO,1,,BlaasCodelijst,,,,,,
NL-CM:4.2.5,UiterlijkeVerzorging,CO,1,,UiterlijkeVerzorgingCodelijst,,,,,,
NL-CM:4.2.6,Toiletgebruik,CO,1,,ToiletgebruikCodelijst,,,,,,
NL-CM:4.2.7,Eten,CO,1,,EtenCodelijst,,,,,,
NL-CM:4.2.8,Transfers,CO,1,,TransfersCodelijst,,,,,,
NL-CM:4.2.9,Mobiliteit,CO,1,,MobiliteitCodelijst,,,,,,
NL-CM:4.2.10,AanUitkleden,CO,1,,AanUitkledenCodelijst,,,,,,
NL-CM:4.2.11,TrappenLopen,CO,1,,TrappenLopenCodelijst,,,,,,
NL-CM:4.2.12,BadenDouchen,CO,1,,BadenDouchenCodelijst,,,,,,
NL-CM:4.2.2,TotaalScore,INT,1,,,,,,,,
