ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:2.2.1,BehandelAanwijzing,rootconcept,,SNOMED CT: 129125009 Verrichting met expliciete context,,,,,,,
NL-CM:2.2.2,BehandelBesluit,CD,1,,BehandelBesluitCodelijst,,,,,,
NL-CM:2.2.3,Behandeling,CD,1,SNOMED CT: 363589002 Gerelateerde verrichting,BehandelingCodelijst,,,,,,
NL-CM:2.2.4,SpecificatieAnders,ST,0..1,,,,,,,,
NL-CM:2.2.5,MeestRecenteBespreekdatum,TS,1,,,,,,,,
NL-CM:2.2.6,DatumBeeindigd,TS,0..1,,,,,,,,
NL-CM:2.2.7,RedenBeeindigd,ST,0..1,,,,,,,,
NL-CM:2.2.8,Wilsverklaring,"data,reference",0..*,SNOMED CT: 713603004 Advance care planning,Dit is een verwijzing naar het rootconcept van de bouwsteen Wilsverklaring.,,,,,,
NL-CM:2.2.9,AfspraakPartij,container,2..*,SNOMED CT: 408730004 Context van verrichting,,,,,,,
NL-CM:2.2.10,Patient,"context,reference",(0..1),,Dit is een verwijzing naar het rootconcept van de bouwsteen Patient.,,,,,,
NL-CM:2.2.11,Vertegenwoordiger::Contactpersoon,"context,reference",(0..1),,Dit is een verwijzing naar het rootconcept van de bouwsteen Contactpersoon.,,,,,,
NL-CM:2.2.12,Zorgverlener,"context,reference",(0..1),,Dit is een verwijzing naar het rootconcept van de bouwsteen Zorgverlener.,,,,,,
NL-CM:2.2.13,Toelichting,ST,0..1,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
