ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:1.1.1,Betaler,rootconcept,,,,,,,,,
NL-CM:1.1.2,BetalerPersoon,container,(0..1),,,,,,,,
NL-CM:1.1.5,BetalerNaam,ST,0..1,,,,,,,,
NL-CM:1.1.4,Bankgegevens,container,0..*,,,,,,,,
NL-CM:1.1.9,BankNaam,ST,0..1,,,,,,,,
NL-CM:1.1.10,Bankcode,ST,0..1,,,,,,,,
NL-CM:1.1.11,Rekeningnummer,ST,1,,,,,,,,
NL-CM:1.1.3,Verzekeraar,container,(0..1),,,,,,,,
NL-CM:1.1.8,Verzekering,container,1..*,,,,,,,,
NL-CM:1.1.13,BeginDatumTijd,TS,0..1,,,,,,,,
NL-CM:1.1.14,EindDatumTijd,TS,1,,,,,,,,
NL-CM:1.1.15,Verzekeringssoort,CD,1,,VerzekeringssoortCodelijst,,,,,,
NL-CM:1.1.7,IdentificatieNummer,II,0..1,,UZOVI,,,,,,
NL-CM:1.1.16,OrganisatieNaam,ST,0..1,,,,,,,,
NL-CM:1.1.6,VerzekerdeNummer,ST,1,,,,,,,,
NL-CM:1.1.17,Adresgegevens,"data,reference",0..*,,Dit is een verwijzing naar het rootconcept van de sub-bouwsteen Adresgegevens.,,,,,,
NL-CM:1.1.12,Contactgegevens,"data,reference",0..*,,Dit is een verwijzing naar het rootconcept van de sub-bouwsteen Contactgegevens,,,,,,
