ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:12.17.1,ChecklistPijnGedrag,rootconcept,,SNOMED CT: 108331000146104 Pain Behaviour Checklist,,,,,,,
NL-CM:12.17.2,TotaalScore,INT,0..1,SNOMED CT: 48981000146100 Pain Behaviour Checklist total score,,,,,,,
NL-CM:12.17.3,Gezicht,INT,0..1,12017003 ChecklistPijnGedrag Gezicht,,,,,,,
NL-CM:12.17.4,Mond,INT,0..1,12017004 ChecklistPijnGedrag Mond,,,,,,,
NL-CM:12.17.5,Grimas,INT,0..1,12017005 ChecklistPijnGedrag Grimas,,,,,,,
NL-CM:12.17.6,VerdrietigeBlik,INT,0..1,12017006 ChecklistPijnGedrag VerdrietigeBlik,,,,,,,
NL-CM:12.17.7,Ogen,INT,0..1,12017007 ChecklistPijnGedrag Ogen,,,,,,,
NL-CM:12.17.8,Paniek,INT,0..1,12017008 ChecklistPijnGedrag Paniek,,,,,,,
NL-CM:12.17.9,Kreunen,INT,0..1,12017009 ChecklistPijnGedrag Kreunen,,,,,,,
NL-CM:12.17.10,Huilen,INT,0..1,12017010 ChecklistPijnGedrag Huilen,,,,,,,
NL-CM:12.17.11,Onrustgeluiden,INT,0..1,12017011 ChecklistPijnGedrag Onrustgeluiden,,,,,,,
NL-CM:12.17.12,Tranen,INT,0..1,12017012 ChecklistPijnGedrag Tranen,,,,,,,
NL-CM:12.17.13,ScoreDatumTijd,TS,1,,,,,,,,
NL-CM:12.17.14,Toelichting,ST,0..1,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
