ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:12.12.1,ComfortScore,rootconcept,,SNOMED CT: 108301000146109 COMFORT scale,,,,,,,
NL-CM:12.12.2,TotaalScore,INT,0..1,SNOMED CT: 48961000146108 COMFORT-score,,,,,,,
NL-CM:12.12.3,Alertheid,CO,0..1,12012003 ComfortScore Alertheid,AlertheidCodelijst,,,,,,
NL-CM:12.12.4,Kalmte_Agitatie,CO,0..1,12012004 ComfortScore Kalmte_Agitatie,Kalmte_AgitatieCodelijst,,,,,,
NL-CM:12.12.5,Ademhalingsreactie,CO,0..1,12012005 ComfortScore Ademhalingsreactie,AdemhalingsreactieCodelijst,,,,,,
NL-CM:12.12.6,Huilen,CO,0..1,12012006 ComfortScore Huilen,HuilenCodelijst,,,,,,
NL-CM:12.12.8,Lichaamsbeweging,CO,0..1,12012008 ComfortScore Lichaamsbeweging,LichaamsbewegingCodelijst,,,,,,
NL-CM:12.12.9,Gezichtsspanning,CO,0..1,12012009 ComfortScore Gezichtsspanning,GezichtsspanningCodelijst,,,,,,
NL-CM:12.12.10,Spierspanning,CO,0..1,12012010 ComfortScore Spierspanning,SpierspanningCodelijst,,,,,,
NL-CM:12.12.11,ScoreDatumTijd,TS,1,,,,,,,,
NL-CM:12.12.12,Toelichting,ST,0..1,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
