ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:12.18.1,DAS,rootconcept,,SNOMED CT: 443349002 Disease activity score in rheumatoid arthritis,,,,,,,
NL-CM:12.18.15,DASWaarde,PQ,0..1,SNOMED CT: 763259004 DAS - Disease Activity Score,,,,,,,
NL-CM:12.18.14,DASMethode,CD,1,SNOMED CT: 443349002 Disease activity score in rheumatoid arthritis,DASMethodeCodelijst,,,,,,
NL-CM:12.18.21,DASFormule,ST,0..1,,,,,,,,
NL-CM:12.18.2,AangedaanGewricht,container,0..*,SNOMED CT: 118952005 Bevinding betreffende gewricht,,,,,,,
NL-CM:12.18.16,AnatomischeLocatie,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept van de bouwsteen AnatomischeLocatie.,,,,,,
NL-CM:12.18.18,Locatie,CD,,SNOMED CT: 363698007 Locatie van bevinding,LocatieCodelijst,,,,,,
NL-CM:12.18.4,Gezwollen,BL,0..1,SNOMED CT: 271771009 Gewrichtszwelling,,,,,,,
NL-CM:12.18.3,Pijnlijk,BL,0..1,SNOMED CT: 110288007 Gevoeligheid van gewricht,,,,,,,
NL-CM:12.18.11,AantalPijnlijkeGewrichten,INT,0..1,SNOMED CT: 442521001 Tender joint count for rheumatoid arthritis assessment,,,,,,,
NL-CM:12.18.12,AantalGezwollenGewrichten,INT,0..1,SNOMED CT: 442194005 Swollen joint count for rheumatoid arthritis assessment,,,,,,,
NL-CM:12.18.22,OntstekingIndicator,container,0..1,,,,,,,,
NL-CM:12.18.20,BSE::LaboratoriumUitslag,"data,reference",(0..1),LOINC: 4537-7 Erytrocyten bezinkingssnelheid [snelheid] in bloed; LOINC: 4539-3 Erytrocyten bezinkingssnelheid.Zeta [snelheid] in bloed,Dit is een verwijzing naar het rootconcept van de bouwsteen LaboratoriumUitslag.,,,,,,
NL-CM:12.18.19,CRP::LaboratoriumUitslag,"data,reference",(0..1),LOINC: 1988-5 C reactief proteïne [massa/volume] in serum of plasma; LOINC: 30522-7 C reactief proteïne [massa/volume] in serum of plasma,Dit is een verwijzing naar het rootconcept van de bouwsteen LaboratoriumUitslag.,,,,,,
NL-CM:12.18.17,DASDatumTijd,TS,0..1,SNOMED CT: 439771001 Datum van gebeurtenis,,,,,,,
NL-CM:12.18.8,VASAlgemeneGezondheid,INT,0..1,SNOMED CT: 446661009 Visual analog scale score,,,,,,,
