ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:19.1.1,DecubitusWond,rootconcept,,SNOMED CT: 399912005 Decubitus,,,,,,,
NL-CM:19.1.2,DecubitusCategorie,CO,1,LOINC: 45780-4 Pressure injury stage [Minimum Data Set],DecubitusCategorieCodelijst,,,,,,
NL-CM:19.1.3,OntstaansDatum,TS,0..1,,,,,,,,
NL-CM:19.1.14,AnatomischeLocatie,"data,reference",0..1,SNOMED CT: 363698007 Locatie van bevinding,Dit is een verwijzing naar het rootconcept van de bouwsteen AnatomischeLocatie.,,,,,,
NL-CM:19.1.8,DatumLaatsteVerbandwissel,TS,0..1,,,,,,,,
NL-CM:19.1.9,Wondlengte,PQ,0..1,LOINC: 39126-8 Duur [lengte] in wond,,,,,,,
NL-CM:19.1.10,Wondbreedte,PQ,0..1,LOINC: 39125-0 Breedte [lengte] in wond,,,,,,,
NL-CM:19.1.11,Wonddiepte,PQ,0..1,LOINC: 39127-6 Diepte [lengte] in wond,,,,,,,
NL-CM:19.1.12,WondFoto,ED,0..*,LOINC: 72170-4 Photographic image,,,,,,,
NL-CM:19.1.5,Toelichting,ST,0..1,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
