ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:18.7.1,DOSScore,rootconcept,,,,,,,,,
NL-CM:18.7.3,DOSScoreTotaal,INT,0..1,,,,,,,,
NL-CM:18.7.5,DOSScoreDatumTijd,TS,1,,,,,,,,
NL-CM:18.7.6,ZaktWeg,INT,0..1,,,,,,,,
NL-CM:18.7.7,SnelAfgeleid,INT,0..1,,,,,,,,
NL-CM:18.7.8,HeeftAandacht,INT,0..1,,,,,,,,
NL-CM:18.7.9,VraagAntwoordNietAf,INT,0..1,,,,,,,,
NL-CM:18.7.10,AntwoordenNietPassend,INT,0..1,,,,,,,,
NL-CM:18.7.11,ReageertTraag,INT,0..1,,,,,,,,
NL-CM:18.7.12,DenktErgensAnders,INT,0..1,,,,,,,,
NL-CM:18.7.13,BeseftDagdeel,INT,0..1,,,,,,,,
NL-CM:18.7.14,HerinnertRecent,INT,0..1,,,,,,,,
NL-CM:18.7.15,Rusteloos,INT,0..1,,,,,,,,
NL-CM:18.7.16,TrektDraden,INT,0..1,,,,,,,,
NL-CM:18.7.17,SnelGeemotioneerd,INT,0..1,,,,,,,,
NL-CM:18.7.18,Hallucinaties,INT,0..1,,,,,,,,
NL-CM:18.7.2,Toelichting,ST,0..1,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
