ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:6.1.1,Familieanamnese,rootconcept,,,,,,,,,
NL-CM:6.1.2,Datum,TS,0..1,,,,,,,,
NL-CM:6.1.3,Familielid,container,1..*,,,,,,,,
NL-CM:6.1.4,BiologischeRelatie,CD,1,,BiologischeRelatieCodelijst,,,,,,
NL-CM:6.1.5,Toelichting,ST,0..1,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
NL-CM:6.1.10,OverlijdensIndicator,BL,0..1,,,,,,,,
NL-CM:6.1.12,LeeftijdBijOverlijden,INT,0..1,,,,,,,,
NL-CM:6.1.6,Aandoening,container,1..*,,,,,,,,
NL-CM:6.1.7,Probleem,"data,reference",1,,Dit is een verwijzing naar het rootconcept van de bouwsteen Probleem.,,,,,,
NL-CM:6.1.9,IsDoodsoorzaak,BL,0..1,,,,,,,,
