ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:9.7.19926,FarmaceutischProduct,rootconcept,,,,,Medication details,CLUSTER,,,
NL-CM:9.7.19927,ProductCode,CD,0..1,,ProductCodeATCCodelijst,/items[at0132.1],Name,CODED TEXT,0..1,,Code list not available.
NL-CM:9.7.19928,ProductSpecificatie,container,0..1,,,/items[at0141],Structured details,CLUSTER,0..1,,Extract this cluster as a separate template since this slot is specifically used in Medicatieafspraak 2023
NL-CM:9.7.22279,Batch/lotNummer,ST,0..1 ,,,"/items[openEHR-EHR-CLUSTER.medication.v2, 'ProductSpecificatie']/items[at0150.1]",Structured details/Medication details/Batch ID,TEXT,0..1,,ZIB: “The number is constructed according to the GS1 standard AI(10)”
NL-CM:9.7.22280,SerieNummer,ST,0..1,,,"/items[openEHR-EHR-CLUSTER.medication.v2, 'ProductSpecificatie']/items[at0150.2]",Structured details/Medication details/Batch ID,TEXT,0..1,,"ZIB: “The number is constructed according to the GS1 standard AI(21)"". To map this variable, we duplicated ""Batch ID”."
NL-CM:9.7.19931,FarmaceutischeVorm,CD,0..1,,FarmaceutischeVormCodelijst,"/items[openEHR-EHR-CLUSTER.medication.v2, 'ProductSpecificatie']/items[at0071.1]",Structured details/Medication details/Form,CODED TEXT,0..1,,Code list not available.
NL-CM:9.7.19929,ProductNaam,ST,0..1,,,"/items[openEHR-EHR-CLUSTER.medication.v2, 'ProductSpecificatie']/items[at0132.1]",Structured details/Medication details/Name,TEXT,0..1,,
NL-CM:9.7.19784,Omschrijving,ST,0..1,,,"/items[openEHR-EHR-CLUSTER.medication.v2, 'ProductSpecificatie']/items[at0133.1]",Structured details/Medication details/Description,TEXT,0..1,,
NL-CM:9.7.19932,Ingredient,container,0..*,,,"/items[openEHR-EHR-CLUSTER.medication.v2, 'ProductSpecificatie']/items[at0138]",Structured details/Medication details/Constituent,CLUSTER,0..*,,
NL-CM:9.7.19934,IngredientCode,CD,0..1,,IngredientCodeATCCodelijst,"/items[openEHR-EHR-CLUSTER.medication.v2, 'ProductSpecificatie']/items[openEHR-EHR-CLUSTER.medication.v2, 'Ingredient']/items[at0132.1]",Structured details/Medication details/Constituent/Medication details/Name,CODED TEXT,0..1,,Code list not available.
NL-CM:9.7.19933,Sterkte,container,0..1,,,"/items[openEHR-EHR-CLUSTER.medication.v2, 'ProductSpecificatie']/items[openEHR-EHR-CLUSTER.medication.v2, 'Ingredient']/items[at0152.1]",Structured details/Medication details/Constituent/Medication details/Strength (concentration),CLUSTER,0..1,,
NL-CM:9.7.22277,IngredientHoeveelheid,PQ,0..1,,,"/items[openEHR-EHR-CLUSTER.medication.v2, 'ProductSpecificatie']/items[openEHR-EHR-CLUSTER.medication.v2, 'Ingredient']/items[at0152.1]/items[at0153.1]",Structured details/Medication details/Constituent/Medication details/Strength (concentration)/Strength numerator,QUANTITY,1..1,,Variable is mandatory
NL-CM:9.7.22278,ProductHoeveelheid,PQ,0..1,,,"/items[openEHR-EHR-CLUSTER.medication.v2, 'ProductSpecificatie']/items[openEHR-EHR-CLUSTER.medication.v2, 'Ingredient']/items[at0152.1]/items[at0157.1]",Structured details/Medication details/Constituent/Medication details/Strength (concentration)/Strength denominator,QUANTITY,1..1,,Variable is mandatory. Set the strength denominator to 1 for value such as '100 mg/tablet'
