ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:9.12.22504,GebruiksInstructie,rootconcept,,,,,,,,,
NL-CM:9.12.19944,AanvullendeInstructie,ST,0..*,,,,,,,,
NL-CM:9.12.9581,Omschrijving,ST,0..1,,,,,,,,
NL-CM:9.12.22505,HerhaalperiodeCyclischSchema,PQ,0..1,,,,,,,,
NL-CM:9.12.19941,Toedieningsweg,CD,0..1,,MedicatieToedieningswegCodelijst,,,,,,
NL-CM:9.12.22095,Doseerinstructie,container,0..*,,,,,,,,
NL-CM:9.12.22506,Doseerduur,PQ,0..1,,,,,,,,
NL-CM:9.12.22503,Volgnummer,INT,0..1,,,,,,,,
NL-CM:9.12.19935,Dosering,container,0..*,,,,,,,,
NL-CM:9.12.19942,Toedieningssnelheid::Bereik,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept van de sub-bouwsteen Bereik.,,,,,,
NL-CM:9.12.23141,Toedieningsduur::TijdsInterval,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept van de bouwsteen TijdsInterval.,,,,,,
NL-CM:9.12.19940,Keerdosis::Bereik,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept van de sub-bouwsteen Bereik.,,,,,,
NL-CM:9.12.22512,Zonodig,container,0..1,,,,,,,,
NL-CM:9.12.19945,Criterium,CD,0..1,,ZonodigCriteriumCodelijst,,,,,,
NL-CM:9.12.19946,MaximaleDosering,PQ,0..1,,,,,,,,
NL-CM:9.12.19948,Toedieningsschema,container,0..1,,,,,,,,
NL-CM:9.12.19949,Frequentie::Bereik,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept van de sub-bouwsteen Bereik.,,,,,,
NL-CM:9.12.19952,Weekdag,CD,0..*,,WeekdagCodelijst,,,,,,
NL-CM:9.12.19953,Dagdeel,CD,0..*,,DagdeelCodelijst,,,,,,
NL-CM:9.12.19951,Toedientijd,TS,0..*,,,,,,,,
NL-CM:9.12.19950,Interval,PQ,0..1,,,,,,,,
