ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:9.12.22504,GebruiksInstructie,rootconcept,,,,,Medication order,INSTRUCTION,,,"GebruiksInstructie and Medicatieafspraak share the same root archetype. “Medication item” variable is mandatory (In Medicatieafspraak, we define this variable as “ProductCode” from FarmaceutischProduct). Other openEHR archetypes could fit this ZIB, e.g., openEHR-EHR-EVALUATION.medication_summary.v1, openEHR-EHR-ACTION.medication.v1."
NL-CM:9.12.19944,AanvullendeInstructie,ST,0..*,,,/activities[at0001.1]/description[at0002]/items[at0044.1],Additional instruction,CODED TEXT,0..*,,We found this code list: https://decor.nictiz.nl/pub/medicatieproces/mp-html-20200122T161947/voc-2.16.840.1.113883.2.4.3.11.60.20.77.11.9-2015-03-10T161020.html
NL-CM:9.12.9581,Omschrijving,ST,0..1,,,/activities[at0001.1]/description[at0002]/items[at0009.1],Overall directions description,TEXT,0..1,,
NL-CM:9.12.22505,HerhaalperiodeCyclischSchema,PQ,0..1,,,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'Doseerinstructie']/items[openEHR-EHR-CLUSTER.timing_nondaily.v1, 'Toedieningsschema – niet-dagelijks']/items[at0021.1]",Structured dose and timing directions/Therapeutic direction/Repetition timing/Timing - non-daily/Timing description,TEXT,0..1,,Had difficulties to map this variable. Only a text is allowed. The variable is inside Doseerinstructie which has an occurrence of 0..*.
NL-CM:9.12.19941,Toedieningsweg,CD,0..1,,MedicatieToedieningswegCodelijst,/activities[at0001.1]/description[at0002]/items[at0091.1],Route,CODED TEXT,0..1,,Code list corresponding to: https://decor.nictiz.nl/pub/bgz2017/bgz2017-html-20190313T152910/voc-2.16.840.1.113883.2.4.3.11.60.40.2.7.4.3-2017-12-31T000000.html ??
NL-CM:9.12.22095,Doseerinstructie,container,0..*,,,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'Doseerinstructie']/  ",Structured dose and timing directions/Therapeutic direction/Repetition timing/Timing - non-daily/Timing description,CLUSTER,0..*,,
NL-CM:9.12.22506,Doseerduur,PQ,0..1,,,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'Doseerinstructie']/items[at0066.1]",Structured dose and timing directions/Therapeutic direction/Direction duration,DURATION + CODED TEXT,0..1,,"ZIB: “In the case of medication for an indefinite period, the dosing duration is left empty in the last dosing instruction.”. In openEHR, we can use an internal coded text (at0067, Indefinite, The direction should be continued indefinitely) instead of leaving the field empty. "
NL-CM:9.12.22503,Volgnummer,INT,0..1,,,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'Doseerinstructie']/items[at0057, 'Volgnummer']",Structured dose and timing directions/Therapeutic direction/Direction sequence,COUNT,0..1,,
NL-CM:9.12.19935,Dosering,container,0..*,,,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'Doseerinstructie']/items[openEHR-EHR-CLUSTER.dosage.v2, 'Dosering']/  ",Structured dose and timing directions/Therapeutic direction/Dosage/,CLUSTER,0..*,,
NL-CM:9.12.19942,Toedieningssnelheid::Bereik,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept van de sub-bouwsteen Bereik.,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'Doseerinstructie']/items[openEHR-EHR-CLUSTER.dosage.v2, 'Dosering']/items[at0134, 'Toedieningssnelheid']",Structured dose and timing directions/Therapeutic direction/Dosage/Administration rate,QUANTITY,0..1,,Can’t select “Interval: Quantity” type in openEHR for this variable
NL-CM:9.12.23141,Toedieningsduur::TijdsInterval,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept van de bouwsteen TijdsInterval.,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'Doseerinstructie']/items[openEHR-EHR-CLUSTER.dosage.v2, 'Dosering']/items[at0102, 'Toedieningsduur']",Structured dose and timing directions/Therapeutic direction/Dosage/Administration duration,DURATION + INTERVAL: DURATION,0..1,,The exact date/time (according to TijdsInterval ZIB) is translated as Interval: Duration (upper/lower) in openEHR.
NL-CM:9.12.19940,Keerdosis::Bereik,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept van de sub-bouwsteen Bereik.,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'Doseerinstructie']/items[openEHR-EHR-CLUSTER.dosage.v2, 'Dosering']/items[at0144, 'Keerdosis']",Structured dose and timing directions/Therapeutic direction/Dosage/Dose,QUANTITY + INTERVAL: QUANTITY,0..1,,
NL-CM:9.12.22512,Zonodig,container,0..1,,,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'Doseerinstructie']/items[openEHR-EHR-CLUSTER.conditional_medication_rules.v0, 'Zonodig']/",Structured dose and timing directions/Therapeutic direction/Additional details/Conditional medication instructions/,CLUSTER,0..1,,"This concept is quite complex to map, the definition in the wiki page of the ZIB is not very clear"
NL-CM:9.12.19945,Criterium,CD,0..*,,ZonodigCriteriumCodelijst,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'Doseerinstructie']/items[openEHR-EHR-CLUSTER.conditional_medication_rules.v0, 'Zonodig']/items[at0005.1]/items[at0002.1]",Structured dose and timing directions/Therapeutic direction/Additional details/Conditional medication instructions/Condition rule/Condition,CODED TEXT,0..1,,"Occurrence for criterium can’t be 0..*, but its parent “Condition rule” is set to 0..*."
NL-CM:9.12.19946,MaximaleDosering,PQ,0..1,,,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'Doseerinstructie']/items[openEHR-EHR-CLUSTER.conditional_medication_rules.v0, 'Zonodig']/items[at0005.1]/items[at0004.1]",Structured dose and timing directions/Therapeutic direction/Additional details/Conditional medication instructions/Condition rule/Dose amount,QUANTITY,0..1,,The descriptions in the ZIB and openEHR don’t fit exactly (do we need to record a time??). Other option in openEHR: Medication safety/Maximum dose.
NL-CM:9.12.19948,Toedieningsschema,container,0..1,,,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'Doseerinstructie']/items[openEHR-EHR-CLUSTER.dosage.v2, 'Dosering']/items[openEHR-EHR-CLUSTER.timing_daily.v1, 'Toedieningsschema – dagelijks']/
+ /activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'Doseerinstructie']/items[openEHR-EHR-CLUSTER.timing_nondaily.v1, 'Toedieningsschema – niet-dagelijks']/","Structured dose and timing directions/Therapeutic direction/Dosage/Timing – daily/
+ Structured dose and timing directions/Therapeutic direction/Repetition timing/Timing – non-daily/","CLUSTER
+ CLUSTER","0..1
+ 0..1",,"In this archetype, we need to separate daily and non-daily dosage: Daily dosage are stored under the ‘Dosage’ CLUSTER archetype, while ”Timing details which are not within a single day, for example, weekly or monthly timings, are carried in the CLUSTER 'Timing - non-daily' archetype carried within the CLUSTER 'Therapeutic direction' archetype.”."
NL-CM:9.12.19949,Frequentie::Bereik,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept van de sub-bouwsteen Bereik.,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'Doseerinstructie']/items[openEHR-EHR-CLUSTER.dosage.v2, 'Dosering']/items[openEHR-EHR-CLUSTER.timing_daily.v1, 'Toedieningsschema – dagelijks']/items[at0003.1]
+ /activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'Doseerinstructie']/items[openEHR-EHR-CLUSTER.timing_nondaily.v1, 'Toedieningsschema – niet-dagelijks']/items[at0014.1]","Structured dose and timing directions/Therapeutic direction/Dosage/Timing – daily/Frequency
+ Structured dose and timing directions/Therapeutic direction/Repetition timing/Timing - non-daily/Days per time period","QUANTITY + INTERVAL: QUANTITY
+ QUANTITY + INTERVAL: QUANTITY","0..1
+ 0..1",,Daily or non-daily dosage.
NL-CM:9.12.19952,Weekdag,CD,0..*,,WeekdagCodelijst,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'Doseerinstructie']/items[openEHR-EHR-CLUSTER.timing_nondaily.v1, 'Toedieningsschema – niet-dagelijks']/items[at0003.1]",Structured dose and timing directions/Therapeutic direction/Repetition timing/Timing - non-daily/Specific day of week,CODED TEXT,0..7,,The occurrences are set to 0..7 in this archetype.  We choose to keep the internal coded list in openEHR.
NL-CM:9.12.19953,Dagdeel,CD,0..*,,DagdeelCodelijst,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'Doseerinstructie']/items[openEHR-EHR-CLUSTER.dosage.v2, 'Dosering']/items[openEHR-EHR-CLUSTER.timing_daily.v1, 'Toedieningsschema – dagelijks']/items[at0027.1]",Structured dose and timing directions/Therapeutic direction/Dosage/Timing - daily/Timing description,TEXT,0..1,,"Can’t edit occurrences from 0..1 to 0..* which can lead to issue if multiple timing needs to be inserted. So, we decided to follow openEHR variable description about using an unstructured text: “Text description of the daily timing. This element is intended to allow implementers to use the structures for different timings without necessarily specifying the timings in a structured way.”"
NL-CM:9.12.19951,Toedientijd,TS,0..*,,,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'Doseerinstructie']/items[openEHR-EHR-CLUSTER.dosage.v2, 'Dosering']/items[openEHR-EHR-CLUSTER.timing_daily.v1, 'Toedieningsschema – dagelijks']/items[at0004.1]",Structured dose and timing directions/Therapeutic direction/Dosage/Timing - daily/Specific time,TIME,0..*,,choose Any time format in openEHR.
NL-CM:9.12.19950,Interval,PQ,0..1,,,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'Doseerinstructie']/items[openEHR-EHR-CLUSTER.dosage.v2, 'Dosering']/items[openEHR-EHR-CLUSTER.timing_daily.v1, 'Toedieningsschema – dagelijks']/items[at0014.1]
+ /activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'Doseerinstructie']/items[openEHR-EHR-CLUSTER.timing_nondaily.v1, 'Toedieningsschema – niet-dagelijks']/items[at0002.1]","Structured dose and timing directions/Therapeutic direction/Dosage/Timing – daily/Interval
+ Structured dose and timing directions/Therapeutic direction/Repetition timing/Timing - non-daily/Repetition interval","DURATION
+ DURATION","0..1
+ 0..1",,Daily or non-daily dosage.
