ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:7.16.1,GezinssituatieKind,rootconcept,,SNOMED CT: 55801000146105 Finding of family details and household composition of child,,,,,,,
NL-CM:7.16.2,GezinssamenstellingKind,CD,0..1,SNOMED CT: 365481000 Bevinding betreffende gezinssamenstelling,GezinssamenstellingKindCodelijst,,,,,,
NL-CM:7.16.3,OuderVerzorger::ContactPersoon,"data,reference",0..*,,Dit is een verwijzing naar het rootconcept van de bouwsteen Contactpersoon.,,,,,,
NL-CM:7.16.4,Kind,container,0..*,SNOMED CT: 67822003 Kind,,,,,,,
NL-CM:7.16.5,Kind::Contactpersoon,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept van de bouwsteen Contactpersoon.,,,,,,
NL-CM:7.16.6,GeboortedatumKind,TS,0..1,LOINC: 21112-8 Geboortedatum [tijdstempel] in ^patiënt,,,,,,,
NL-CM:7.16.7,AantalBroersEnZussen,INT,0..1,SNOMED CT: 224095004 Number of siblings,,,,,,,
NL-CM:7.16.8,BroerOfZus,container,0..*,,,,,,,,
NL-CM:7.16.9,BroerOfZus::Contactpersoon,"data,reference",0..1,SNOMED CT: 375005 Broer of zus,Dit is een verwijzing naar het rootconcept van de bouwsteen Contactpersoon.,,,,,,
NL-CM:7.16.10,GeboortedatumZusBroer,TS,0..1,LOINC: 21112-8 Geboortedatum [tijdstempel] in ^patiënt,,,,,,,
NL-CM:7.16.11,Toelichting,ST,0..1,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
