ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:10.2.1,Infuus,rootconcept,,SNOMED CT: 19923001 Katheter,,,,,,,
NL-CM:10.2.3,Infuuskatheter::MedischHulpmiddel,"data,reference",0..1,SNOMED CT: 424226004 Met gebruik van hulpmiddel,Dit is een verwijzing naar het rootconcept van de bouwsteen MedischHulpmiddel.,,,,,,
NL-CM:10.1.3,ProductType,CD,,,InfuuskatheterTypeCodelijst,,,,,,
NL-CM:10.2.8,Toelichting,ST,0..1,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
NL-CM:10.2.10,LumenOfLijn,container,1..3,,,,,,,,
NL-CM:10.2.9,LijnStatus,CD,0..1,,LijnStatusCodelijst,,,,,,
NL-CM:10.2.11,LumenLocatie,CD,0..1,,LumenLocatieCodelijst,,,,,,
NL-CM:10.2.13,SlotVloeistof::MedicatieToediening2,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept van de bouwsteen MedicatieToediening2.,,,,,,
NL-CM:10.2.7,ToedieningsSysteem,container,0..*,,,,,,,,
NL-CM:10.2.2,InfuusVloeistof::MedicatieToediening2,"data,reference",1,SNOMED CT: 440132002 Geneesmiddel in parenterale toedieningsvorm,Dit is een verwijzing naar het rootconcept van de bouwsteen MedicatieToediening2.,,,,,,
NL-CM:10.2.6,Randapparaat::MedischHulpmiddel,"data,reference",0..*,SNOMED CT: 363710007 Indirect hulpmiddel,Dit is een verwijzing naar het rootconcept van de bouwsteen MedischHulpmiddel.,,,,,,
NL-CM:10.2.12,ToedieningsSysteemToelichting,ST,0..1,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
