ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:13.1.1,LaboratoriumUitslag,rootconcept,,,,,,,,,
NL-CM:13.1.2,Monster,container,0..1,SNOMED CT: 123038009 Monster,,,,,,,
NL-CM:13.1.15,Monsternummer,II,0..1,,,,,,,,
NL-CM:13.1.20,Monstervolgnummer,INT,0..1,,,,,,,,
NL-CM:13.1.21,Containertype,CD,0..1,,ContainerTypeCodelijst,,,,,,
NL-CM:13.1.16,Monstermateriaal,CD,0..1,SNOMED CT: 370133003 Monstermateriaal,MonstermateriaalCodelijst,,,,,,
NL-CM:13.1.36,AnatomischeLocatie,"data,reference",0..1,SNOMED CT: 405814001 Indirecte locatie van verrichting,Dit is een verwijzing naar het rootconcept van de bouwsteen AnatomischeLocatie.,,,,,,
NL-CM:13.1.22,Microorganisme,CD,0..1,,MicroorganismeCodelijst,,,,,,
NL-CM:13.1.23,Verzamelvolume,PQ,0..1,,,,,,,,
NL-CM:13.1.24,Verzamelperiode::TijdsInterval,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept in de sub-bouwsteen TijdsInterval.,,,,,,
NL-CM:13.1.17,AfnameDatumTijd,TS,0..1,SNOMED CT: 399445004 Datum van monsterafname,,,,,,,
NL-CM:13.1.25,AannameDatumTijd,TS,0..1,,,,,,,,
NL-CM:13.1.18,Afnameprocedure,CD,0..1,SNOMED CT: 118171006 Afnamemethode,AfnameprocedureCodelijst,,,,,,
NL-CM:13.1.28,Morfologie,CD,0..1,SNOMED CT: 118168003 Morfologische bron van monster,MorfologieCodelijst,,,,,,
NL-CM:13.1.29,BronMonster,ST,0..1,SNOMED CT: 127454002 Monster van hulpmiddel,,,,,,,
NL-CM:13.1.19,Toelichting,ST,0..1,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
NL-CM:13.1.3,LaboratoriumTest,container,0..*,,,,,,,,
NL-CM:13.1.8,TestCode,CD,1,,TestCodeLOINCCodelijst; TestCodeNHGCodelijst,,,,,,
NL-CM:13.1.9,Testmethode,CD,0..1,SNOMED CT: 246501002 Techniek,TestmethodeCodelijst,,,,,,
NL-CM:13.1.13,TestDatumTijd,TS,0..1,,,,,,,,
NL-CM:13.1.10,TestUitslag,ANY,0..1,,,,,,,,
NL-CM:13.1.31,TestUitslagStatus,CD,0..1,,TestUitslagStatusCodelijst,,,,,,
NL-CM:13.1.11,ReferentieBovengrens,ANY,0..1,,,,,,,,
NL-CM:13.1.12,ReferentieOndergrens,ANY,0..1,,,,,,,,
NL-CM:13.1.30,InterpretatieMethode,CD,0..1,,InterpretatieMethodeCodelijst,,,,,,
NL-CM:13.1.14,InterpretatieVlaggen,CD,0..*,SNOMED CT: 363713009 Interpretatie,InterpretatieVlaggenCodelijst,,,,,,
NL-CM:13.1.32,UitslagInterpretatie,ST,0..1,SNOMED CT: 441742003 Beoordeling van bevinding,,,,,,,
NL-CM:13.1.4,Onderzoek,CD,0..1,,OnderzoekCodelijst,,,,,,
NL-CM:13.1.6,ResultaatStatus,CD,0..1,,ResultaatStatusCodelijst,,,,,,
NL-CM:13.1.5,Toelichting,ST,0..1,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
NL-CM:13.1.7,ResultaatType,CD,0..1,,ResultaatTypeCodelijst,,,,,,
NL-CM:13.1.33,GerelateerdeUitslag::LaboratoriumUitslag,"data,reference",0..*,,Dit is een verwijzing naar het rootconcept van de bouwsteen LaboratoriumUitslag.,,,,,,
NL-CM:13.1.34,Aanvrager::Zorgverlener,"context,reference",0..1,,Dit is een verwijzing naar het rootconcept van de bouwsteen Zorgverlener.,,,,,,
NL-CM:13.1.35,Uitvoerder::Zorgaanbieder,"context,reference",0..1,,Dit is een verwijzing naar het rootconcept van de bouwsteen Zorgaanbieder.,,,,,,
