ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:9.6.9580,Medicatieafspraak,rootconcept,,SNOMED CT: 33633005 Voorschrijven van geneesmiddel,,,Medication order,INSTRUCTION,,,
NL-CM:9.6.1030,Voorschrijver::Zorgverlener,"context,reference",0..1,,Dit is een verwijzing naar het rootconcept van de bouwsteen Zorgverlener.,,,,,,"In openEHR, information on the involved caregiver is either store within “other_participants” inherited attribute, or in a separate composition and referenced through a LINK, or by combining Medication order and caregiver under a SECTION. There are pros and cons to the different options."
NL-CM:9.6.23133,RedenVanVoorschrijven::Probleem,"context,reference",0..1,SNOMED CT: 112201000146104 Medische reden van voorschrijven,Dit is een verwijzing naar het rootconcept in de bouwsteen Probleem.,,,,,,"In openEHR, information, the problem/diagnosis should fit within “Clinical indication” (/activities[at0001]/description[at0002]/items[at0018.1]), however the ZIB probleem contains more detailed information that are not mappable within this variable. A solution would be to either create a separate composition and reference it through a LINK, or combine all information under a SECTION."
NL-CM:9.6.19925,Afgesprokengeneesmiddel::FarmaceutischProduct,"data,reference",1,,Dit is een verwijzing naar het rootconcept van de sub-bouwsteen FarmaceutischProduct.,/activities[at0001]/description[at0002]/items[at0070.1] + /activities[at0001]/description[at0002]/items[at0143.1],Direct mapping (Medication item) + Medication details,Direct mapping + CLUSTER,1..1,,Medication item is a mandatory field in the root archetype. We filled it using the “ProductCode” variable from FarmaceutischProduct.  The rest of the information of FarmaceutischProduct are added in the cluster slot Medication details.
NL-CM:9.6.23240,Gebruiksinstructie::GebruiksInstructie,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept van de sub-bouwsteen Gebruiksinstructie.,Direct mapping in Medicatieafspraak-v2.1(2023NL) + /activities[at0001]/description[at0002]/items[at0177.1],Direct mapping + Structured dose and timing directions/Therapeutic direction,Direct mapping + CLUSTER,0..1,,"Gebruiksinstructie and Medicatieafspraak have been mapped using the same root archetype root archetype. For Gebruiksinstructie, a few variables are mapped using variables from the root archetype while the rest are mapped using the cluster therapeutic_direction.v1. We made the decision to merge Gebruiksinstructie into Medicatieafspraak for practical reasons."
NL-CM:9.6.19757,MedicatieafspraakDatumTijd,TS,1,,,,timing,,1..1,,No path. Inherited attribute
NL-CM:9.6.19936,Gebruiksperiode::TijdsInterval,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept in de sub-bouwsteen TijdsInterval.,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'TijdsInterval']",Structured dose and timing directions/Therapeutic direction,CLUSTER,0..1,,Limitation: Order details doesn’t have an appropriate field for the duration/Gebruiksduur. So we added a second therapeutic_direction.v1 archetype. The ZIB Medicatieafspraak describes more constraints for the variables of TijdsInterval so that we described the mapping in this table.
NL-CM:20.3.2,Ingangsdatum,TS,0..1,,,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'TijdsInterval']/items[at0178.1]",Order details/Order start 'date/time',DATETIME,0..1,,"Datetime pattern: date, hour, optional minute."
NL-CM:20.3.4,Gebruiksduur,PQ,0..1,,,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'TijdsInterval']/items[at0066.1]",Direction duration,DURATION,0..1,,"ZIB Medicatieafspraak: “It is not allowed to indicate the duration in months, because different months have a variable duration in days."" "
NL-CM:20.3.3,Einddatum,TS,0..1,,,"/activities[at0001]/description[at0002]/items[openEHR-EHR-CLUSTER.therapeutic_direction.v1, 'TijdsInterval']/items[at0179.1]",Order details/Order stop 'date/time',DATETIME,0..1,,"ZIB Medicatieafspraak: “To avoid confusion between 'to' and 'up until and including', the submission of time is always mandatory for the end date.” Datetime pattern: date, hour, optional minute."
NL-CM:9.6.19954,MedicatieafspraakStopType,CD,0..1,SNOMED CT: 274512008 Behandeling met geneesmiddel stopgezet,MedicatieafspraakStopTypeCodelijst,/activities[at0001]/description[at0002]/items[at0113.1]/items[at0112]/items[openEHR-EHR-CLUSTER.medication_order_summary.v0]/items[at0001.1],Order details/Order summary/Medication order summary/Order status,CODED TEXT,0..1,,Used openEHR internal coded text (‘Stopped’ and ‘Suspended')
NL-CM:9.6.22094,RedenWijzigenOfStaken,CD,0..1,SNOMED CT: 160111000146106 Reden voor wijzigen van voorschrift,RedenWijzigenOfStakenCodelijst,/activities[at0001]/description[at0002]/items[at0113.1]/items[at0016.1],Order details/Order stop criterion,CODED TEXT,0..1,,"The code list contains a non SNOMED value for “OTH"""
NL-CM:9.6.23283,MedicatieafspraakAanvullendeInformatie,CD,0..*,,MedicatieafspraakAanvullendeInformatieCodelijst,/activities[at0001]/description[at0002]/items[at0179.1],Clinician guidance,CODED TEXT,0..1,,"Hard concept to map, “Clinician guidance” seems to be closest match. However, the occurrence is fixed to 0..1 (should be 0..*)"
NL-CM:9.6.22273,Toelichting,ST,0..1,LOINC: 48767-8 Verklarend commentaar [interpretatie] in {systeem},,/activities[at0001]/description[at0002]/items[at0167.1],Comment,TEXT,0..1,,
