ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:9.13.20928,MedicatieToediening,rootconcept,,SNOMED CT: 18629005 Medicatietoediening,,,,,,,
NL-CM:9.13.20929,ToedieningsProduct::FarmaceutischProduct,"data,reference",1,,Dit is een verwijzing naar het rootconcept van de bouwsteen FarmaceutischProduct.,,,,,,
NL-CM:9.13.23159,Toedieningssnelheid::Bereik,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept van de sub-bouwsteen Bereik.,,,,,,
NL-CM:9.13.21193,ToedieningsDatumTijd,TS,1,,,,,,,,
NL-CM:9.13.23171,AfgesprokenDatumTijd,TS,0..1,,,,,,,,
NL-CM:9.13.21194,ToegediendeHoeveelheid,PQ,0..1,,,,,,,,
NL-CM:9.13.23167,AfwijkendeToediening,BL,0..1,,,,,,,,
NL-CM:9.13.21195,Toedieningsweg,CD,1,SNOMED CT: 410675002 Toedieningsweg,MedicatieToedieningToedieningswegCodelijst,,,,,,
NL-CM:9.13.23168,DubbeleControleUitgevoerd,BL,0..1,,,,,,,,
NL-CM:9.13.23170,Medicatieafspraak,"context,reference",(0..1),,Dit is een verwijzing naar het rootconcept van de bouwsteen Medicatieafspraak.,,,,,,
NL-CM:9.13.23237,Toedieningsafspraak,"context,reference",(0..1),,Dit is een verwijzing naar het rootconcept van de bouwsteen Toedieningsafspraak.,,,,,,
NL-CM:9.13.23169,GerelateerdeAfspraak,container,0..1,,,,,,,,
NL-CM:9.13.21196,Toediener,container,0..1,,,,,,,,
NL-CM:9.13.23380,Patiënt,"context,reference",(0..1),,Dit is een verwijzing naar het rootconcept van de bouwsteen Patient.,,,,,,
NL-CM:9.13.23172,Zorgverlener,"context,reference",(0..1),,Dit is een verwijzing naar de rootconcept van de bouwsteen Zorgverlener.,,,,,,
NL-CM:9.13.23355,Mantelzorger::Contactpersoon,"context,reference",(0..1),,Dit is een verwijzing naar het rootconcept van de bouwsteen Contactpersoon.,,,,,,
NL-CM:9.13.23166,MedicatieToedieningRedenVanAfwijken,CD,0..1,,MedicatieToedieningRedenVanAfwijkenCodelijst,,,,,,
NL-CM:9.13.21191,MedicatieToedieningStatus,CD,1,,MedicatieToedieningStatusCodelijst,,,,,,
NL-CM:9.13.21337,Toelichting,ST,0..1,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
