ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:10.1.1,MedischHulpmiddel,rootconcept,,SNOMED CT: 49062001 Hulpmiddel,,,,,,,
NL-CM:10.1.2,Product,container,1,SNOMED CT: 405815000 Hulpmiddel voor verrichting,,,,,,,
NL-CM:10.1.4,ProductID,CD,0..1,,GTINProductIDCodelijst; HIBCProductIDCodelijst,,,,,,
NL-CM:10.1.3,ProductType,CD,0..1,,ProductTypeCodelijst,,,,,,
NL-CM:10.1.13,ProductOmschrijving,ST,0..1,,,,,,,,
NL-CM:10.1.15,AnatomischeLocatie,"data,reference",0..1,SNOMED CT: 363698007 Locatie van bevinding,Dit is een verwijzing naar het rootconcept van de bouwsteen AnatomischeLocatie.,,,,,,
NL-CM:10.1.7,Indicatie::Probleem,"context,reference",0..*,,Dit is een verwijzing naar het rootconcept van de bouwsteen Probleem.,,,,,,
NL-CM:10.1.11,BeginDatum,TS,0..1,,,,,,,,
NL-CM:10.1.14,EindDatum,TS,0..1,,,,,,,,
NL-CM:10.1.10,Toelichting,ST,0..1,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
NL-CM:10.1.8,Locatie::Zorgaanbieder,"context,reference",0..1,,Dit is een verwijzing naar het rootconcept van de bouwsteen Zorgaanbieder,,,,,,
NL-CM:10.1.9,Zorgverlener,"context,reference",0..1,,Dit is een verwijzing naar het rootconcept van de bouwsteen Zorgverlener,,,,,,
