ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:20.4.1,Naamgegevens,rootconcept,,,,,,,,,
NL-CM:20.4.4,Voornamen,ST,0..1,,,,,,,,
NL-CM:20.4.5,Initialen,ST,0..1,,,,,,,,
NL-CM:20.4.6,Roepnaam,ST,0..1,,,,,,,,
NL-CM:20.4.7,Naamgebruik,CD,0..1,,NaamgebruikCodelijst,,,,,,
NL-CM:20.4.2,Geslachtsnaam,container,0..1,,,,,,,,
NL-CM:20.4.11,Voorvoegsels,ST,0..1,,,,,,,,
NL-CM:20.4.10,Achternaam,ST,1,,,,,,,,
NL-CM:20.4.3,GeslachtsnaamPartner,container,0..1,,,,,,,,
NL-CM:20.4.9,VoorvoegselsPartner,ST,0..1,,,,,,,,
NL-CM:20.4.8,AchternaamPartner,ST,1,,,,,,,,
NL-CM:20.4.12,Titels,ST,0..1,,,,,,,,
