ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:0.1.1,Patient,rootconcept,,SNOMED CT: 116154003 Patiënt,,,,,,,
NL-CM:0.1.6,Naamgegevens,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept in de sub-bouwsteen Naamgegevens.,,,,,,
NL-CM:0.1.4,Adresgegevens,"data,reference",0..*,,Dit is een verwijzing naar het rootconcept in de sub-bouwsteen Adresgegevens.,,,,,,
NL-CM:0.1.5,Contactgegevens,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept in de sub-bouwsteen Contactgegevens.,,,,,,
NL-CM:0.1.7,Identificatienummer,II,0..*,,Burgerservicenummer,,,,,,
NL-CM:0.1.10,Geboortedatum,TS,0..1,LOINC: 21112-8 Geboortedatum [tijdstempel] in ^patiënt,,,,,,,
NL-CM:0.1.9,Geslacht,CD,0..1,LOINC: 46098-0 Geslacht [type] in ^patiënt,GeslachtCodelijst,,,,,,
NL-CM:0.1.31,MeerlingIndicator,BL,0..1,,,,,,,,
NL-CM:0.1.32,OverlijdensIndicator,BL,0..1,SNOMED CT: 397709008 Patiënt overleden,,,,,,,
NL-CM:0.1.33,DatumOverlijden,TS,0..1,LOINC: 81954-0 Date of death [Date],,,,,,,
