ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:0.1.1,Patient,rootconcept,,SNOMED CT: 116154003 Patiënt,,,Ad hoc heading,SECTION,,,"Section to group the gender, death and birth concepts. Sensitive demographic information on the patient (name, address, BSN number, etc.) should not be stored in an openEHR server."
NL-CM:0.1.6,Naamgegevens,"data,reference",1..1,,Dit is een verwijzing naar het rootconcept in de sub-bouwsteen Naamgegevens.,,,,0..0,,Demographic data of a patient is not stored in openEHR. 
NL-CM:0.1.4,Adresgegevens,"data,reference",0..*,,Dit is een verwijzing naar het rootconcept in de sub-bouwsteen Adresgegevens.,,,,0..0,,Demographic data of a patient is not stored in openEHR. 
NL-CM:0.1.5,Contactgegevens,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept in de sub-bouwsteen Contactgegevens.,,,,0..0,,Demographic data of a patient is not stored in openEHR. 
NL-CM:0.1.7,Identificatienummer,II,0..*,,Burgerservicenummer,,,,0..0,,Demographic data of a patient is not stored in openEHR. 
NL-CM:0.1.10,Geboortedatum,TS,1..1,LOINC: 21112-8 Geboortedatum [tijdstempel] in ^patiënt,,"/items[openEHR-EHR-EVALUATION.birth_summary.v0, 'Geboorte']/data[at0001]/items[at0004.1]",Birth summary/Date of birth,DATETIME,1..1,,"Datetime pattern: year, optional month, day. A ‘vague’ date, such as only the year, is permitted. "
NL-CM:0.1.9,Geslacht,CD,1..1,LOINC: 46098-0 Geslacht [type] in ^patiënt,GeslachtCodelijst,"/items[openEHR-EHR-EVALUATION.gender.v1, 'Geslacht']/data[at0002]/items[at0022.1]",Gender/Administrative gender,CODED TEXT,1..1,,We choose ‘Administrative gender’ over ‘Sex assigned at birth’ because the ZIB description for this variable is “Patient’s administrative gender”.
NL-CM:0.1.34,Genderidentiteit,CD,0..1,SNOMED CT: 33821000087103 Gender identity,GenderidentiteitCodelijst,"/items[openEHR-EHR-EVALUATION.gender.v1, 'Geslacht']/data[at0002]/data[at0002]/items[at0001.1]",Gender/Gender identity,CODED TEXT,0..1,,Other - OTH - NullFlavor is the only value without a SNOMED CT code.
NL-CM:0.1.31,MeerlingIndicator,BL,1..1,,,"/items[openEHR-EHR-EVALUATION.birth_summary.v0 , 'Geboorte']/data[at0001]/items[at0007.1]",Birth summary/Birth plurality,TEXT,1..1,,"Boolean not available, add a list of possible values (True or False)."
NL-CM:0.1.32,OverlijdensIndicator,BL,1..1,SNOMED CT: 419099009 Overleden,,"/items[openEHR-EHR-OBSERVATION.vital_status.v0 , 'OverlijdensIndicator']/data[at0001]/events[at0002.1]/data[at0003]/items[at0004.1]",Vital status/Vital status,CODED TEXT,1..1,,"Boolean not available, we used the internal coded text instead: at0005: Alive and at0006: Dead. For unknown value, possibility to add at0009: Unknown."
NL-CM:0.1.33,DatumOverlijden,TS,0..1,LOINC: 81954-0 Date of death [Date],,"/items[openEHR-EHR-EVALUATION.death_summary.v1, 'Overlijden']/data[at0001]/items[at0092.1]",Death summary/Date/time of death,DATETIME,0..1,,"Datetime pattern: year, optional month, day. A ‘vague’ date, such as only the year, is permitted. "
