ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:12.21.1,Pijnkenmerken,rootconcept,,SNOMED CT: 276435006 Bevinding betreffende pijn en/of sensatie,,,,,,,
NL-CM:12.21.2,PijnAard,CD,0..*,SNOMED CT: 364632003 Pain character,PijnAardCodelijst,,,,,,
NL-CM:12.21.3,PijnLocatie::AnatomischeLocatie,"data,reference",0..1,SNOMED CT: 363698007 Locatie van bevinding,Dit is een verwijzing naar het rootconcept van de bouwsteen AnatomischeLocatie.,,,,,,
NL-CM:12.21.4,PijnAanvalDuur,PQ,0..1,SNOMED CT: 162442009 Time symptom lasts,,,,,,,
NL-CM:12.21.12,BeginTijdPijn,TS,0..1,SNOMED CT: 405795006 Tijd van eerste optreden van symptoom,,,,,,,
NL-CM:12.21.5,PijnIntensiteit::PijnScore,"data,reference",0..1,SNOMED CT: 406127006 Pain intensity,Dit is een verwijzing naar het rootconcept van de bouwsteen Pijnscore.,,,,,,
NL-CM:12.21.6,PijnPatroon,CD,0..1,SNOMED CT: 364631005 Pattern of pain,PijnPatroonCodelijst,,,,,,
NL-CM:12.21.7,Pijnbeloop,CD,0..1,,PijnbeloopCodelijst,,,,,,
NL-CM:12.21.8,VerzachtendeFactoren,ST,0..1,SNOMED CT: 162483007 Klachtverlichtende factoren,,,,,,,
NL-CM:12.21.11,VerergerendeFactoren,ST,0..1,SNOMED CT: 162473008 Klachtverergerende factoren,,,,,,,
NL-CM:12.21.9,PijnkenmerkenDatumTijd,TS,1,SNOMED CT: 439771001 Datum van gebeurtenis,,,,,,,
NL-CM:12.21.10,Toelichting,ST,0..1,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
