ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:5.1.1,Probleem,rootconcept,,,,,,,,,
NL-CM:5.1.8,ProbleemType,CD,0..1,,ProbleemTypeCodelijst,,,,,,
NL-CM:5.1.3,ProbleemNaam,CD,1,,ProbleemNaamCodelijst,,,,,,
NL-CM:5.1.13,NadereSpecificatieProbleemNaam,ST,0..1,,,,,,,,
NL-CM:5.1.14,ProbleemAnatomischeLocatie::AnatomischeLocatie,"data,reference",0..1,SNOMED CT: 405813007 Directe locatie van verrichting,Dit is een verwijzing naar het rootconcept van de bouwsteen AnatomischeLocatie.,,,,,,
NL-CM:5.1.6,ProbleemBeginDatum,TS,0..1,,,,,,,,
NL-CM:5.1.9,ProbleemEindDatum,TS,0..1,,,,,,,,
NL-CM:5.1.4,ProbleemStatus,CD,1,,ProbleemStatusCodelijst,,,,,,
NL-CM:5.1.10,VerificatieStatus,CD,0..1,SNOMED CT: 408729009 Context van bevinding,VerificatieStatusCodelijst,,,,,,
NL-CM:5.1.5,Toelichting,ST,0..1,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
