ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:5.1.1,Probleem,rootconcept,,,,,Problem/Diagnosis,EVALUATION,,,
NL-CM:5.1.8,ProbleemType,CD,0..1,,ProbleemTypeCodelijst,/data[at0001]/items[openEHR-EHR-CLUSTER.problem_qualifier.v2]/items[at0063.1],Specific details>Problem/Diagnosis qualifier>Diagnostic category,CODED TEXT,0..1,,
NL-CM:5.1.3,ProbleemNaam,CD,1,,ProbleemNaamCodelijst,/data[at0001]/items[at0002.1],Problem/Diagnosis name,CODED TEXT,1..1,,
NL-CM:5.1.13,NadereSpecificatieProbleemNaam,ST,0..1,,,/data[at0001]/items[at0079.1],Variant,TEXT,0..1,,
NL-CM:5.1.14,ProbleemAnatomischeLocatie::AnatomischeLocatie,"data,reference",0..*,SNOMED CT: 363698007 Locatie van bevinding,Dit is een verwijzing naar het rootconcept van de bouwsteen AnatomischeLocatie.,/data[at0001]/items[at0039.1],Structured body site,CLUSTER,0..*,,Refer to AnatomischeLocatie-v1.0.3(2023NL)
NL-CM:5.1.6,ProbleemBeginDatum,TS,0..1,,,/data[at0001]/items[at0077.1],Date/time of onset,DATETIME,0..1,,"It could be either “Date/time of onset” OR “Date/time clinically recognized"". Datetime pattern: Pattern: yyyy-??-??TXX:XX:XX (year, optional month, day)"
NL-CM:5.1.9,ProbleemEindDatum,TS,0..1,,,/data[at0001]/items[at0030.1],Date/time of resolution,DATETIME,0..1,,"Datetime pattern: Pattern: yyyy-??-??TXX:XX:XX (year, optional month, day)"
NL-CM:5.1.4,ProbleemStatus,CD,1,,ProbleemStatusCodelijst,/data[at0001]/items[openEHR-EHR-CLUSTER.problem_qualifier.v2]/items[at0003.1],Specific details>Problem/Diagnosis qualifier>Active/Inactive?,CODED TEXT,1..1,,
NL-CM:5.1.10,VerificatieStatus,CD,0..1,SNOMED CT: 408729009 Context van bevinding,VerificatieStatusCodelijst,/data[at0001]/items[at0073.1],Diagnostic certainty,CODED TEXT,0..1,,
NL-CM:5.1.5,Toelichting,ST,0..1,LOINC: 48767-8 Verklarend commentaar [interpretatie] in {systeem},,/data[at0001]/items[at0069.1],Comment,TEXT,0..1,,
