ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:12.20.1,Refractie,rootconcept,,SNOMED CT: 251718005 Refractiesterkte,,,,,,,
NL-CM:12.20.4,RefractieMeetMethode,CD,0..1,SNOMED CT: 251794006 Refraction,RefractieMeetMethodeCodelijst,,,,,,
NL-CM:12.20.3,RefractieDatumTijd,TS,0..1,SNOMED CT: 439771001 Datum van gebeurtenis,,,,,,,
NL-CM:12.20.12,CilindrischeRefractie,container,0..1,,,,,,,,
NL-CM:12.20.11,CilindrischeRefractieWaarde,PQ,1,SNOMED CT: 251797004 Cillindersterkte,,,,,,,
NL-CM:12.20.13,CilindrischeRefractieAs,PQ,1,SNOMED CT: 251799001 As van cilinder,,,,,,,
NL-CM:12.20.5,Prisma,container,0..1,,,,,,,,
NL-CM:12.20.6,PrismaWaarde,PQ,1,SNOMED CT: 251762001 Prismasterkte,,,,,,,
NL-CM:12.20.7,PrismaBasis,PQ,1,SNOMED CT: 246223004 Richting van basis van prisma,,,,,,,
NL-CM:12.20.14,SferischeRefractie,container,0..1,,,,,,,,
NL-CM:12.20.9,SferischeRefractieWaarde,PQ,1,SNOMED CT: 251795007 Sferische sterkte,,,,,,,
NL-CM:12.20.10,SferischEquivalent,PQ,0..1,,,,,,,,
NL-CM:12.20.8,LeesAdditie,PQ,0..1,SNOMED CT: 251718005 Refractiesterkte,,,,,,,
NL-CM:12.20.2,AnatomischeLocatie,"data,reference",0..1,SNOMED CT: 272741003 Lateraliteit,Dit is een verwijzing naar het rootconcept van de bouwsteen AnatomischeLocatie.,,,,,,
NL-CM:12.20.15,Lateraliteit,CD,,,LateraliteitCodelijst,,,,,,
