ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:4.27.1,TNMTumorClassificatie,rootconcept,,SNOMED CT: 385379008 TNM tumor staging finding,,,,,,,
NL-CM:4.27.25,AfstandsMetastasen,container,0..1,SNOMED CT: 385380006 Metastasis category finding,,,,,,,
NL-CM:4.27.26,M_AfstandsMetastasen,CD,0..1,SNOMED CT: 277208005 M-categorie van Tumor-Node-Metastasis-classificatie,aM_AfstandsMetastasenCodelijst; cpM_AfstandsMetastasenCodelijst; rcrpM_AfstandsMetastasenCodelijst,,,,,,
NL-CM:4.27.27,AfstandsMetastasenLocalisatie,container,0..*,SNOMED CT: 385421009 Locatie van metastase op afstand,,,,,,,
NL-CM:4.27.28,Metastasen::AnatomischeLocatie,"data,reference",0..1,SNOMED CT: 385421009 Locatie van metastase op afstand,Dit is een verwijzing naar het rootconcept van de bouwsteen AnatomischeLocatie.,,,,,,
NL-CM:4.27.21,RegionaleLymfeklieren,container,0..1,SNOMED CT: 301855007 Finding of lymph node,,,,,,,
NL-CM:4.27.22,N_RegionaleLymfeklieren,CD,0..1,SNOMED CT: 277206009 N-categorie van tumor-node-metastasis-classificatie,aN_RegionaleLymfeklierenCodelijst; cN_RegionaleLymfeklierenCodelijst; pN_RegionaleLymfeklierenCodelijst; rcN_RegionaleLymfeklierenCodelijst; rpN_RegionaleLymfeklierenCodelijst; ycN_RegionaleLymfeklierenCodelijst; ypN_RegionaleLymfeklierenCodelijst,,,,,,
NL-CM:4.27.23,RegionaleLymfeklierenLocalisatie,container,0..*,SNOMED CT: 364108009 Lymph node observable,,,,,,,
NL-CM:4.27.24,Lymfeklieren::AnatomischeLocatie,"data,reference",0..1,SNOMED CT: 397440000 Locatie van aangedane lymfeklier,Dit is een verwijzing naar het rootconcept van de bouwsteen AnatomischeLocatie.,,,,,,
NL-CM:4.27.12,PrimaireTumor,container,0..1,SNOMED CT: 86049000 Primaire maligniteit,,,,,,,
NL-CM:4.27.13,m_AantalPrimaireTumoren,CD,0..1,SNOMED CT: 133641000146103 Aantal primaire tumoren,m_AantalPrimaireTumorenCodelijst,,,,,,
NL-CM:4.27.14,T_PrimaireTumor,CD,0..1,SNOMED CT: 78873005 T-categorie van Tumor-Node-Metastasis-classificatie,aT_PrimaireTumorCodelijst; cT_PrimaireTumorCodelijst; pT_PrimaireTumorCodelijst; rcT_PrimaireTumorCodelijst; rpT_PrimaireTumorCodelijst; ycT_PrimaireTumorCodelijst; ypT_PrimaireTumorCodelijst,,,,,,
NL-CM:4.27.15,Afwijking,container,1..*,SNOMED CT: 108369006 Neoplasma,,,,,,,
NL-CM:4.27.16,AfwijkingNummer,INT,0..1,,,,,,,,
NL-CM:4.27.17,Morfologie,CD,0..1,SNOMED CT: 396984004 Histologic feature of tumor,MorfologieCodelijst,,,,,,
NL-CM:4.27.18,G_DifferentiatiegraadTumor,CD,0..1,SNOMED CT: 371469007 Histologic grade,G_DifferentiatiegraadTumorCodelijst,,,,,,
NL-CM:4.27.19,TumorLokalisatie,container,0..*,SNOMED CT: 399687005 Locatie van primaire tumor,,,,,,,
NL-CM:4.27.20,Tumor::AnatomischeLocatie,"data,reference",0..1,SNOMED CT: 399687005 Locatie van primaire tumor,Dit is een verwijzing naar het rootconcept van de bouwsteen AnatomischeLocatie.,,,,,,
NL-CM:4.27.2,DatumTNMClassificatie,TS,0..1,SNOMED CT: 399651003 Date of report,,,,,,,
NL-CM:4.27.3,TNMVersie,CD,0..1,SNOMED CT: 273249006 Assessment scales,TNMVersieCodelijst,,,,,,
NL-CM:4.27.4,GeintegreerdeTNMWaarde,ST,0..1,SNOMED CT: 399703000 Integrated TNM category,,,,,,,
NL-CM:4.27.5,Toelichting,ST,0..1,SNOMED CT: 243814003 Interpretation of findings,,,,,,,
NL-CM:4.27.6,L_LymfatischeInvasie,CD,0..1,SNOMED CT: 395715009 Status of lymphatic (small vessel) invasion by tumor,L_LymfatischeInvasieCodelijst,,,,,,
NL-CM:4.27.7,Pn_PerineuraleInvasie,CD,0..1,SNOMED CT: 371513001 Status of perineural invasion by tumor,Pn_PerineuraleInvasieCodelijst,,,,,,
NL-CM:4.27.8,V_VeneuzeInvasie,CD,0..1,SNOMED CT: 371493002 Status of venous (large vessel) invasion by tumor,V_VeneuzeInvasieCodelijst,,,,,,
NL-CM:4.27.9,AnatomischStadium,CD,0..1,SNOMED CT: 399390009 TNM stage grouping,AnatomischStadiumCodelijst,,,,,,
NL-CM:4.27.10,PrognostischStadium,CD,0..1,SNOMED CT: 399390009 TNM stage grouping,PrognostischStadiumCodelijst,,,,,,
NL-CM:4.27.11,R_ResidueleTumor,CD,0..1,SNOMED CT: 17964000 Residual tumor stage,R_ResidueleTumorCodelijst,,,,,,
