ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:14.2.1,VerpleegkundigeInterventie,rootconcept,,SNOMED CT: 9632001 Verpleegkundige verrichting,,,,,,,
NL-CM:14.2.2,Interventie,CD,1,,InterventieNICCodelijst; InterventieSnomedCodelijst,,,,,,
NL-CM:14.2.6,Indicatie::Probleem,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept van de bouwsteen Probleem.,,,,,,
NL-CM:14.2.14,Behandeldoel,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept van de bouwsteen Behandeldoel.,,,,,,
NL-CM:14.2.3,Interval,PQ,0..1,,,,,,,,
NL-CM:14.2.4,Frequentie,PQ,0..1,,,,,,,,
NL-CM:14.2.11,ActieStartDatumTijd,TS,0..1,,,,,,,,
NL-CM:14.2.12,ActieEindDatumTijd,TS,0..1,,,,,,,,
NL-CM:14.2.13,MedischHulpmiddel,"data,reference",0..*,,Dit is een verwijzing naar het rootconcept van de bouwsteen MedischHulpmiddel.,,,,,,
NL-CM:14.2.18,Instructie,ST,0..1,,,,,,,,
NL-CM:14.2.15,Uitvoerder,container,0..1,,,,,,,,
NL-CM:14.2.7,Zorgverlener,"context,reference",(0..1),,Dit is een verwijzing naar het rootconcept van de bouwsteen Zorgverlener.,,,,,,
NL-CM:14.2.16,Verzorger::ContactPersoon,"context,reference",(0..1),,Dit is een verwijzing naar het rootconcept van de bouwsteen Contactpersoon.,,,,,,
NL-CM:14.2.17,Patient,"context,reference",(0..1),,Dit is een verwijzing naar het rootconcept van de bouwsteen Patient.,,,,,,
NL-CM:14.2.8,Aanvrager::Zorgverlener,"context,reference",0..*,,Dit is een verwijzing naar het rootconcept van de bouwsteen Zorgverlener.,,,,,,
NL-CM:14.2.5,Toelichting,ST,0..1,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
