ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:19.2.1,Wond,rootconcept,,,,,,,,,
NL-CM:19.2.5,WondSoort,CD,1,,WondSoortCodelijst,,,,,,
NL-CM:19.2.4,WondWeefsel,CD,0..1,,WondWeefselOncoUlcerCodelijst; WondWeefselWCSCodelijst,,,,,,
NL-CM:19.2.7,WondInfectie,BL,0..1,SNOMED CT: 405009004 Infectiestatus,,,,,,,
NL-CM:19.2.6,WondVochtigheid,CD,0..1,SNOMED CT: 298007001 Vochtigheid van verwonding,WondVochtigheidCodelijst,,,,,,
NL-CM:19.2.11,WondRand,CD,0..1,SNOMED CT: 449747006 Bevinding betreffende rand van wond,WondRandCodelijst,,,,,,
NL-CM:19.2.12,Wondlengte,PQ,0..1,LOINC: 39126-8 Duur [lengte] in wond,,,,,,,
NL-CM:19.2.13,Wondbreedte,PQ,0..1,LOINC: 39125-0 Breedte [lengte] in wond,,,,,,,
NL-CM:19.2.14,Wonddiepte,PQ,0..1,LOINC: 39127-6 Diepte [lengte] in wond,,,,,,,
NL-CM:19.2.19,AnatomischeLocatie,"data,reference",0..1,SNOMED CT: 363698007 Locatie van bevinding,Dit is een verwijzing naar het rootconcept van de bouwsteen AnatomischeLocatie.,,,,,,
NL-CM:19.2.2,WondOntstaansdatum,TS,0..1,,,,,,,,
NL-CM:19.2.3,DatumLaatsteVerbandwissel,TS,0..1,,,,,,,,
NL-CM:19.2.17,Drain::MedischHulpmiddel,"data,reference",0..1,SNOMED CT: 258646005 Wonddrain,Dit is een verwijzing naar het rootconcept van de bouwsteen MedischHulpmiddel.,,,,,,
NL-CM:10.1.3,ProductType,CD,,,WondDrainTypeCodelijst,,,,,,
NL-CM:19.2.15,WondFoto,ED,0..*,,,,,,,,
NL-CM:19.2.9,Toelichting,ST,0..1,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
