ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:17.2.1,Zorgaanbieder,rootconcept,,SNOMED CT: 257622000 Zorginstelling,,,,,,,
NL-CM:17.2.2,ZorgaanbiederIdentificatienummer,II,0..*,,UZI register abonneenummer (URA); Vektis AGB-zorgverlener tabel,,,,,,
NL-CM:17.2.3,OrganisatieNaam,ST,0..1,,,,,,,,
NL-CM:17.2.7,AfdelingSpecialisme,CD,0..1,,AfdelingSpecialismeCodelijst,,,,,,
NL-CM:17.2.6,Contactgegevens,"data,reference",0..1,,Dit is een verwijzing naar het rootconcept van de sub-bouwsteen Contactgegevens.,,,,,,
NL-CM:17.2.5,Adresgegevens,"data,reference",0..*,,Dit is een verwijzing naar het rootconcept in de sub-bouwsteen Adresgegevens,,,,,,
NL-CM:17.2.4,OrganisatieType,CD,0..1,,OrganisatieTypeCodelijst,,,,,,
NL-CM:17.2.9,OrganisatieLocatie,container,0..1,,,,,,,,
NL-CM:17.2.8,LocatieNaam,ST,0..1,,,,,,,,
NL-CM:17.2.10,LocatieNummer,INT,0..1,,,,,,,,
