ZIB_Id,ZIB_Naam,ZIB_Type,ZIB_Card,ZIB_DefCode,ZIB_Verwijzing,openEHR_Path,openEHR_Naam,openEHR_Type,openEHR_Card,openEHR_Term,Commentaar
NL-CM:16.2.1,ZorgAfspraak,rootconcept,,SNOMED CT: 288834001 Instemmen met zorgplan,,,,,,,
NL-CM:16.2.16,BeginDatum,TS,0..1,,,,,,,,
NL-CM:16.2.15,EindDatum,TS,0..1,,,,,,,,
NL-CM:16.2.3,AfspraakPartijen,container,2..*,,,,,,,,
NL-CM:16.2.4,Patient,"context,reference",(0..1),SNOMED CT: 116154003 Patiënt,Dit is een verwijzing naar het rootconcept van de bouwsteen Patient.,,,,,,
NL-CM:16.2.5,Contactpersoon,"context,reference",(0..1),SNOMED CT: 70862002 Contactpersoon,Dit is een verwijzing naar het rootconcept van de bouwsteen Contactpersoon.,,,,,,
NL-CM:16.2.2,Zorgverlener,"context,reference",(0..1),SNOMED CT: 223366009 Gezondheidszorgpersoneel,Dit is een verwijzing naar het rootconcept van de bouwsteen Zorgverlener.,,,,,,
NL-CM:16.2.6,Uitvoerder,container,0..*,SNOMED CT: 420158005 Uitvoerder van methode,,,,,,,
NL-CM:16.2.7,Patient,"context,reference",(0..1),SNOMED CT: 116154003 Patiënt,Dit is een verwijzing naar het rootconcept van de bouwsteen Patient.,,,,,,
NL-CM:16.2.8,Contactpersoon,"context,reference",(0..1),SNOMED CT: 70862002 Contactpersoon,Dit is een verwijzing naar het rootconcept van de bouwsteen Contactpersoon.,,,,,,
NL-CM:16.2.9,Zorgverlener,"context,reference",(0..1),SNOMED CT: 223366009 Gezondheidszorgpersoneel,Dit is een verwijzing naar het rootconcept van de bouwsteen Zorgverlener.,,,,,,
NL-CM:16.2.10,Coordinator::Zorgverlener,"context,reference",0..1,SNOMED CT: 768820003 Zorgcoördinator,Dit is een verwijzing naar het rootconcept van de bouwsteen Zorgverlener.,,,,,,
NL-CM:16.2.11,Activiteit,ST,1,SNOMED CT: 257733005 Activity,,,,,,,
NL-CM:16.2.12,Toelichting,ST,0..1,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
NL-CM:16.2.13,Probleem,"context,reference",0..1,SNOMED CT: 363702006 Heeft focus,Dit is een verwijzing naar het rootconcept van de bouwsteen Probleem.,,,,,,
