ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
aM0,aM0,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,aM0,,,
aM0(i+),aM0(i+),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,aM0(i+),,,
aM0(mol+),aM0(mol+),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,aM0(mol+),,,
aM1,aM1,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,aM1,,,
aM1a,aM1a,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,aM1a,,,
aM1a(0),aM1a(0),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,aM1a(0),,,
aM1a(1),aM1a(1),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,aM1a(1),,,
aM1b,aM1b,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,aM1b,,,
aM1b(0),aM1b(0),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,aM1b(0),,,
aM1b(1),aM1b(1),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,aM1b(1),,,
aM1c,aM1c,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,aM1c,,,
aM1c(0),aM1c(0),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,aM1c(0),,,
aM1c(1),aM1c(1),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,aM1c(1),,,
aM1d,aM1d,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,aM1d,,,
aM1d(0),aM1d(0),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,aM1d(0),,,
aM1d(1),aM1d(1),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,aM1d(1),,,
