ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
aNX,aNX,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aNX,,,
aNX(f),aNX(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aNX(f),,,
aNX(sn),aNX(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aNX(sn),,,
aN0,aN0,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN0,,,
aN0(f),aN0(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN0(f),,,
aN0(sn),aN0(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN0(sn),,,
aN0(i-),aN0(i-),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN0(i-),,,
aN0(i-)(sn),aN0(i-)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN0(i-)(sn),,,
aN0(i+),aN0(i+),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN0(i+),,,
aN0(i+)(sn),aN0(i+)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN0(i+)(sn),,,
aN0(mol-),aN0(mol-),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN0(mol-),,,
aN0(mol-)(sn),aN0(mol-)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN0(mol-)(sn),,,
aN0(mol+),aN0(mol+),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN0(mol+),,,
aN0(mol+)(sn),aN0(mol+)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN0(mol+)(sn),,,
aN1,aN1,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN1,,,
aN1(f),aN1(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN1(f),,,
aN1(sn),aN1(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN1(sn),,,
aN1mi,aN1mi,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN1mi,,,
aN1mi(f),aN1mi(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN1mi(f),,,
aN1mi(sn),aN1mi(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN1mi(sn),,,
aN1a,aN1a,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN1a,,,
aN1a(f),aN1a(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN1a(f),,,
aN1a(sn),aN1a(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN1a(sn),,,
aN1b,aN1b,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN1b,,,
aN1b(f),aN1b(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN1b(f),,,
aN1b(sn),aN1b(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN1b(sn),,,
aN1c,aN1c,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN1c,,,
aN1c(f),aN1c(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN1c(f),,,
aN1c(sn),aN1c(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN1c(sn),,,
aN2,aN2,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN2,,,
aN2(f),aN2(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN2(f),,,
aN2(sn),aN2(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN2(sn),,,
aN2a,aN2a,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN2a,,,
aN2a(f),aN2a(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN2a(f),,,
aN2a(sn),aN2a(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN2a(sn),,,
aN2b,aN2b,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN2b,,,
aN2b(f),aN2b(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN2b(f),,,
aN2b(sn),aN2b(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN2b(sn),,,
aN2c,aN2c,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN2c,,,
aN2c(f),aN2c(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN2c(f),,,
aN2c(sn),aN2c(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN2c(sn),,,
aN3,aN3,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN3,,,
aN3(f),aN3(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN3(f),,,
aN3(sn),aN3(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN3(sn),,,
aN3a,aN3a,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN3a,,,
aN3a(f),aN3a(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN3a(f),,,
aN3a(sn),aN3a(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN3a(sn),,,
aN3b,aN3b,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN3b,,,
aN3b(f),aN3b(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN3b(f),,,
aN3b(sn),aN3b(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN3b(sn),,,
aN3c,aN3c,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN3c,,,
aN3c(f),aN3c(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN3c(f),,,
aN3c(sn),aN3c(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,aN3c(sn),,,
