ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
Stadium 0,Stage0,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium 0,,,
Stadium I,StageI,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium I,,,
Stadium IA,StageIA,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IA,,,
Stadium IA1,StageIA1,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IA1,,,
Stadium IA2,StageIA2,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IA2,,,
Stadium IA3,StageIA3,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IA3,,,
Stadium IC,StageIC,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IC,,,
Stadium IB,StageIB,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IB,,,
Stadium IB1,StageIB1,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IB1,,,
Stadium IB2,StageIB2,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IB2,,,
Stadium IS,StageIs,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IS,,,
Stadium II,StageII,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium II,,,
Stadium IIA,StageIIA,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IIA,,,
Stadium IIA1,StageIIA1,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IIA1,,,
Stadium IIA2,StageIIA2,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IIA2,,,
Stadium IIB,StageIIB,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IIB,,,
Stadium IIC,StageIIC,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IIC,,,
Stadium III,StageIII,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium III,,,
Stadium IIIA,StageIIIA,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IIIA,,,
Stadium IIIA1,StageIIIA1,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IIIA1,,,
Stadium IIIA2,StageIIIA2,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IIIA2,,,
Stadium IIIB,StageIIIB,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IIIB,,,
Stadium IIIC,StageIIIC,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IIIC,,,
Stadium IIIC1,StageIIIC1,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IIIC1,,,
Stadium IIIC2,StageIIIC2,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IIIC2,,,
Stadium IIID,StageIIID,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IIID,,,
Stadium IV,StageIV,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IV,,,
Stadium IVA,StageIVA,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IVA,,,
Stadium IVB,StageIVB,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IVB,,,
Stadium IVC,StageIVC,,AnatomischStadium,2.16.840.1.113883.2.4.3.11.60.40.4.10.6,Stadium IVC,,,
