ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
aTx,aTx,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aTx,,,
aT0,aT0,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT0,,,
aTa,aTa,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aTa,,,
aTis,aTis,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aTis,,,
aTis (DCIS),aTis (DCIS),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aTis (DCIS),,,
aTis (LAMN),aTis (LAMN),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aTis (LAMN),,,
aTis (LCIS),aTis (LCIS),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aTis (LCIS),,,
aTis (Paget),aTis (Paget),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aTis (Paget),,,
aTis pu,aTis pu,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aTis pu,,,
aT1,aT1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT1,,,
aT1mi,aT1mi,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT1mi,,,
aT1a,aT1a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT1a,,,
aT1a1,aT1a1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT1a1,,,
aT1a2,aT1a2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT1a2,,,
aT1b,aT1b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT1b,,,
aT1b1,aT1b1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT1b1,,,
aT1b2,aT1b2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT1b2,,,
aT1c,aT1c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT1c,,,
aT1c1,aT1c1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT1c1,,,
aT1c2,aT1c2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT1c2,,,
aT1c3,aT1c3,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT1c3,,,
aT1d,aT1d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT1d,,,
aT2,aT2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT2,,,
aT2a,aT2a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT2a,,,
aT2a1,aT2a1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT2a1,,,
aT2a2,aT2a2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT2a2,,,
aT2b,aT2b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT2b,,,
aT2c,aT2c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT2c,,,
aT2d,aT2d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT2d,,,
aT3,aT3,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT3,,,
aT3a,aT3a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT3a,,,
aT3b,aT3b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT3b,,,
aT3c,aT3c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT3c,,,
aT3d,aT3d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT3d,,,
aT3e,aT3e,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT3e,,,
aT4,aT4,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT4,,,
aT4a,aT4a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT4a,,,
aT4b,aT4b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT4b,,,
aT4c,aT4c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT4c,,,
aT4d,aT4d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT4d,,,
aT4e,aT4e,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,aT4e,,,
