ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
Aunt,AUNT,,RoleCode,2.16.840.1.113883.5.111,Tante,,,
Cousin,COUSN,,RoleCode,2.16.840.1.113883.5.111,"Neef/nicht, zoon/dochter van oom/tante",,,
Grandchild,GRNDCHILD,,RoleCode,2.16.840.1.113883.5.111,Kleinkind,,,
Grandparent,GRPRN,,RoleCode,2.16.840.1.113883.5.111,Grootouder,,,
Great grandparent,GGRPRN,,RoleCode,2.16.840.1.113883.5.111,Overgrootouder,,,
Half-brother,HBRO,,RoleCode,2.16.840.1.113883.5.111,Halfbroer,,,
Half-sister,HSIS,,RoleCode,2.16.840.1.113883.5.111,Halfzus,,,
MaternalAunt,MAUNT,,RoleCode,2.16.840.1.113883.5.111,Tante/moederszijde,,,
MaternalCousin,MCOUSN,,RoleCode,2.16.840.1.113883.5.111,Neef/nicht aan moederszijde,,,
MaternalGrandparent,MGRPRN,,RoleCode,2.16.840.1.113883.5.111,Gootouder aan moederszijde,,,
MaternalGreatgrandparent,MGGRPRN,,RoleCode,2.16.840.1.113883.5.111,Overgrootouder aan moederszijde,,,
MaternalUncle,MUNCLE,,RoleCode,2.16.840.1.113883.5.111,Oom/moederszijde,,,
Natural child,NCHILD,,RoleCode,2.16.840.1.113883.5.111,Biologisch kind,,,
Natural daugther,DAU,,RoleCode,2.16.840.1.113883.5.111,Biologische dochter,,,
Natural son,SON,,RoleCode,2.16.840.1.113883.5.111,Biologische zoon,,,
Natural father,NFTH,,RoleCode,2.16.840.1.113883.5.111,Biologische vader,,,
Natural mother,NMTH,,RoleCode,2.16.840.1.113883.5.111,Biologische moeder,,,
Natural brother,NBRO,,RoleCode,2.16.840.1.113883.5.111,Biologische broer,,,
Natural sister,NSIS,,RoleCode,2.16.840.1.113883.5.111,Biologische zus,,,
Nephew,NEPHEW,,RoleCode,2.16.840.1.113883.5.111,"Neef, zoon van broer/zus",,,
Niece,NIECE,,RoleCode,2.16.840.1.113883.5.111,"Nicht, dochter van broer/zus",,,
PaternalAunt,PAUNT,,RoleCode,2.16.840.1.113883.5.111,Tante/vaderszijde,,,
PaternalCousin,PCOUSN,,RoleCode,2.16.840.1.113883.5.111,Neef/nicht aan vaderszijde,,,
PaternalGrandparent,PGRPRN,,RoleCode,2.16.840.1.113883.5.111,Grootouder aan vaderszijde,,,
PaternalGreatgrandparent,PGGRPRN,,RoleCode,2.16.840.1.113883.5.111,Overgrootouder aan vaderszijde,,,
PaternalUncle,PUNCLE,,RoleCode,2.16.840.1.113883.5.111,Oom/vaderszijde,,,
Uncle,UNCLE,,RoleCode,2.16.840.1.113883.5.111,Oom,,,
