ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
cNX,cNX,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cNX,,,
cNX(f),cNX(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cNX(f),,,
cNX(sn),cNX(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cNX(sn),,,
cN0,cN0,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN0,,,
cN0(f),cN0(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN0(f),,,
cN0(sn),cN0(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN0(sn),,,
cN0(i-),cN0(i-),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN0(i-),,,
cN0(i-)(sn),cN0(i-)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN0(i-)(sn),,,
cN0(i+),cN0(i+),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN0(i+),,,
cN0(i+)(sn),cN0(i+)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN0(i+)(sn),,,
cN0(mol-),cN0(mol-),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN0(mol-),,,
cN0(mol-)(sn),cN0(mol-)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN0(mol-)(sn),,,
cN0(mol+),cN0(mol+),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN0(mol+),,,
cN0(mol+)(sn),cN0(mol+)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN0(mol+)(sn),,,
cN1,cN1,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN1,,,
cN1(f),cN1(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN1(f),,,
cN1(sn),cN1(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN1(sn),,,
cN1mi,cN1mi,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN1mi,,,
cN1mi(f),cN1mi(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN1mi(f),,,
cN1mi(sn),cN1mi(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN1mi(sn),,,
cN1a,cN1a,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN1a,,,
cN1a(f),cN1a(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN1a(f),,,
cN1a(sn),cN1a(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN1a(sn),,,
cN1b,cN1b,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN1b,,,
cN1b(f),cN1b(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN1b(f),,,
cN1b(sn),cN1b(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN1b(sn),,,
cN1c,cN1c,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN1c,,,
cN1c(f),cN1c(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN1c(f),,,
cN1c(sn),cN1c(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN1c(sn),,,
cN2,cN2,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN2,,,
cN2(f),cN2(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN2(f),,,
cN2(sn),cN2(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN2(sn),,,
cN2a,cN2a,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN2a,,,
cN2a(f),cN2a(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN2a(f),,,
cN2a(sn),cN2a(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN2a(sn),,,
cN2b,cN2b,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN2b,,,
cN2b(f),cN2b(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN2b(f),,,
cN2b(sn),cN2b(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN2b(sn),,,
cN2c,cN2c,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN2c,,,
cN2c(f),cN2c(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN2c(f),,,
cN2c(sn),cN2c(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN2c(sn),,,
cN3,cN3,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN3,,,
cN3(f),cN3(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN3(f),,,
cN3(sn),cN3(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN3(sn),,,
cN3a,cN3a,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN3a,,,
cN3a(f),cN3a(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN3a(f),,,
cN3a(sn),cN3a(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN3a(sn),,,
cN3b,cN3b,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN3b,,,
cN3b(f),cN3b(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN3b(f),,,
cN3b(sn),cN3b(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN3b(sn),,,
cN3c,cN3c,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN3c,,,
cN3c(f),cN3c(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN3c(f),,,
cN3c(sn),cN3c(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,cN3c(sn),,,
