ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
cM0,cM0,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,cM0,,,
cM0(i+),cM0(i+),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,cM0(i+),,,
cM0(mol+),cM0(mol+),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,cM0(mol+),,,
cM1,cM1,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,cM1,,,
cM1a,cM1a,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,cM1a,,,
cM1a(0),cM1a(0),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,cM1a(0),,,
cM1a(1),cM1a(1),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,cM1a(1),,,
cM1b,cM1b,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,cM1b,,,
cM1b(0),cM1b(0),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,cM1b(0),,,
cM1b(1),cM1b(1),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,cM1b(1),,,
cM1c,cM1c,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,cM1c,,,
cM1c(0),cM1c(0),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,cM1c(0),,,
cM1c(1),cM1c(1),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,cM1c(1),,,
cM1d,cM1d,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,cM1d,,,
cM1d(0),cM1d(0),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,cM1d(0),,,
cM1d(1),cM1d(1),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,cM1d(1),,,
pM1,pM1,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,pM1,,,
pM1a,pM1a,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,pM1a,,,
pM1a(0),pM1a(0),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,pM1a(0),,,
pM1a(1),pM1a(1),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,pM1a(1),,,
pM1b,pM1b,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,pM1b,,,
pM1b(0),pM1b(0),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,pM1b(0),,,
pM1b(1),pM1b(1),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,pM1b(1),,,
pM1c,pM1c,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,pM1c,,,
pM1c(0),pM1c(0),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,pM1c(0),,,
pM1c(1),pM1c(1),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,pM1c(1),,,
pM1d,pM1d,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,pM1d,,,
pM1d(0),pM1d(0),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,pM1d(0),,,
pM1d(1),pM1d(1),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,pM1d(1),,,
