ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
cTx,cTx,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cTx,,,
cT0,cT0,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT0,,,
cTa,cTa,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cTa,,,
cTis,cTis,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cTis,,,
cTis (DCIS),cTis (DCIS),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cTis (DCIS),,,
cTis (LAMN),cTis (LAMN),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cTis (LAMN),,,
cTis (LCIS),cTis (LCIS),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cTis (LCIS),,,
cTis (Paget),cTis (Paget),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cTis (Paget),,,
cTis pu,cTis pu,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cTis pu,,,
cT1,cT1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT1,,,
cT1mi,cT1mi,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT1mi,,,
cT1a,cT1a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT1a,,,
cT1a1,cT1a1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT1a1,,,
cT1a2,cT1a2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT1a2,,,
cT1b,cT1b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT1b,,,
cT1b1,cT1b1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT1b1,,,
cT1b2,cT1b2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT1b2,,,
cT1c,cT1c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT1c,,,
cT1c1,cT1c1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT1c1,,,
cT1c2,cT1c2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT1c2,,,
cT1c3,cT1c3,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT1c3,,,
cT1d,cT1d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT1d,,,
cT2,cT2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT2,,,
cT2a,cT2a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT2a,,,
cT2a1,cT2a1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT2a1,,,
cT2a2,cT2a2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT2a2,,,
cT2b,cT2b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT2b,,,
cT2c,cT2c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT2c,,,
cT2d,cT2d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT2d,,,
cT3,cT3,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT3,,,
cT3a,cT3a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT3a,,,
cT3b,cT3b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT3b,,,
cT3c,cT3c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT3c,,,
cT3d,cT3d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT3d,,,
cT3e,cT3e,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT3e,,,
cT4,cT4,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT4,,,
cT4a,cT4a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT4a,,,
cT4b,cT4b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT4b,,,
cT4c,cT4c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT4c,,,
cT4d,cT4d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT4d,,,
cT4e,cT4e,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,cT4e,,,
