ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar,,,
Heroïne,387341002,,SNOMED CT,2.16.840.1.113883.6.96,Heroïne,,,,,,
Benzodiazepine,372664007,,SNOMED CT,2.16.840.1.113883.6.96,Benzodiazepine,,,,,,
Methadon,387286002,,SNOMED CT,2.16.840.1.113883.6.96,Methadon,,,,,,
Hydroxyboterzuur,62821004,,SNOMED CT,2.16.840.1.113883.6.96,GHB,,,,,,
Cocaïne,387085005,,SNOMED CT,2.16.840.1.113883.6.96,Cocaïne,,,,,,
Crack,229003004,,SNOMED CT,2.16.840.1.113883.6.96,Crack," base coke",,,,,
Methyleendioxymethamfetamine,288459003,,SNOMED CT,2.16.840.1.113883.6.96,MDMA,,,,,,
Amfetamine,703842006,,SNOMED CT,2.16.840.1.113883.6.96,Amfetamine," speed",,,,,
Cannabis,398705004,,SNOMED CT,2.16.840.1.113883.6.96,Cannabis," wiet marihuana"," hasj",,,,
Paddo,229006007,,SNOMED CT,2.16.840.1.113883.6.96,Paddo's,,,,,,
LSD,15698006,,SNOMED CT,2.16.840.1.113883.6.96,LSD,,,,,,
Ketamine,373464007,,SNOMED CT,2.16.840.1.113883.6.96,Ketamine,,,,,,
Fencyclidine,9721008,,SNOMED CT,2.16.840.1.113883.6.96,PCP,,,,,,
Methamfetamine,387499002,,SNOMED CT,2.16.840.1.113883.6.96,Crystal meth," methamfetamine",,,,,
Anabool steroïd,111151007,,SNOMED CT,2.16.840.1.113883.6.96,Anabole steroïde,,,,,,
Laxans,372800002,,SNOMED CT,2.16.840.1.113883.6.96,Laxans,,,,,,
Buprenorfine,387173000,,SNOMED CT,2.16.840.1.113883.6.96,Buprenorfine,,,,,,
Fentanyl,373492002,,SNOMED CT,2.16.840.1.113883.6.96,Fentanyl,,,,,,
Barbituraat,372798009,,SNOMED CT,2.16.840.1.113883.6.96,Barbituraat,,,,,,
Opioïdreceptoragonist,404642006,,SNOMED CT,2.16.840.1.113883.6.96,Opiaten zoals morfine," codeïne"," methadon"," oxycodon en andere morfine-derivaten",,,
4-fluoramfetamine,33471000146101,,SNOMED CT,2.16.840.1.113883.6.96,4FA en/of 4-fmp,,,,,,
Oxycodon,55452001,,SNOMED CT,2.16.840.1.113883.6.96,Oxycodon,,,,,,
Distikstofmonoxide,111132001,,SNOMED CT,2.16.840.1.113883.6.96,Lachgas,,,,,,
Other,OTH,,NullFlavor,2.16.840.1.113883.5.1008,Anders,,,,,,
