ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
Onder toezichtstelling (ots),OTS,,JuridischeStatus,2.16.840.1.113883.2.4.3.11.60.40.4.23.2,Onder toezichtstelling (ots),,,
Plaatsing in een inrichting voor jeugdigen (PIJ-maatregel),PIJ,,JuridischeStatus,2.16.840.1.113883.2.4.3.11.60.40.4.23.2,Plaatsing in een inrichting voor jeugdigen (PIJ-maatregel),,,
Tbs: ter beschikking stelling van de regering (tbs),TBS,,JuridischeStatus,2.16.840.1.113883.2.4.3.11.60.40.4.23.2,Tbs: ter beschikking stelling van de regering (tbs),,,
Besluit tot opname en verblijf,OPM,,JuridischeStatus,2.16.840.1.113883.2.4.3.11.60.40.4.23.2,Besluit tot opname en verblijf,,,
Rechterlijke machtiging,RM,,JuridischeStatus,2.16.840.1.113883.2.4.3.11.60.40.4.23.2,Rechterlijke machtiging,,,
Voortgezette machtiging,VM,,JuridischeStatus,2.16.840.1.113883.2.4.3.11.60.40.4.23.2,Voortgezette machtiging,,,
Beschikking tot inbewaringstelling (ibs),IBS,,JuridischeStatus,2.16.840.1.113883.2.4.3.11.60.40.4.23.2,Beschikking tot inbewaringstelling (ibs),,,
Voorwaardelijke machtiging voor jongvolwassenen met een verstandelijke beperking (VMM),VMM,,JuridischeStatus,2.16.840.1.113883.2.4.3.11.60.40.4.23.2,Voorwaardelijke machtiging voor jongvolwassenen met een verstandelijke beperking (VMM),,,
Zorgmachtiging,ZM,,JuridischeStatus,2.16.840.1.113883.2.4.3.11.60.40.4.23.2,Zorgmachtiging,,,
Crisismaatregel,CM,,JuridischeStatus,2.16.840.1.113883.2.4.3.11.60.40.4.23.2,Crisismaatregel,,,
Machtiging tot voortzetting van de crisismaatregel,VCM,,JuridischeStatus,2.16.840.1.113883.2.4.3.11.60.40.4.23.2,Machtiging tot voortzetting van de crisismaatregel,,,
Tijdelijke verplichte zorg in een noodsituatie/onvoorziene situatie waarin de zorgmachtiging of crisismaatregel niet voorziet,NOOD,,JuridischeStatus,2.16.840.1.113883.2.4.3.11.60.40.4.23.2,Tijdelijke verplichte zorg in een noodsituatie/onvoorziene situatie waarin de zorgmachtiging of crisismaatregel niet voorziet,,,
Tijdelijke verplichte zorg voorafgaand aan een crisismaatregel,TEMP,,JuridischeStatus,2.16.840.1.113883.2.4.3.11.60.40.4.23.2,Tijdelijke verplichte zorg voorafgaand aan een crisismaatregel,,,
