ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
Geen geloof,GeenGeloof,,NL-CM-CS,2.16.840.1.113883.2.4.3.11.60.40.4,Geen geloof,,,
Atheïst,160542002,,SNOMED CT,2.16.840.1.113883.6.96,Atheïst,,,
Agnost,160567004,,SNOMED CT,2.16.840.1.113883.6.96,Agnost,,,
Boeddhist,309687009,,SNOMED CT,2.16.840.1.113883.6.96,Boeddhist,,,
Anglicaan,271448006,,SNOMED CT,2.16.840.1.113883.6.96,Anglicaan,,,
Jehova's getuige,80587008,,SNOMED CT,2.16.840.1.113883.6.96,Jehova''s getuige,,,
Non-conformist,276119007,,SNOMED CT,2.16.840.1.113883.6.96,Non-conformist,,,
Christen,160549006,,SNOMED CT,2.16.840.1.113883.6.96,Christen,,,
Protestant,309885004,,SNOMED CT,2.16.840.1.113883.6.96,Protestant,,,
Rooms-katholiek,160540005,,SNOMED CT,2.16.840.1.113883.6.96,Katholiek,,,
Heilsoldaat,160234004,,SNOMED CT,2.16.840.1.113883.6.96,Heilsoldaat,,,
Zevendedagsadventist,428821008,,SNOMED CT,2.16.840.1.113883.6.96,Zevendedagsadventist,,,
Hindoe,160545000,,SNOMED CT,2.16.840.1.113883.6.96,Hindoe,,,
Jood,160543007,,SNOMED CT,2.16.840.1.113883.6.96,Jood,,,
Moslim,309884000,,SNOMED CT,2.16.840.1.113883.6.96,Moslim,,,
Humanist,Humanist,,NL-CM-CS,2.16.840.1.113883.2.4.3.11.60.40.4,Humanist,,,
Mormoon,Mormoon,,NL-CM-CS,2.16.840.1.113883.2.4.3.11.60.40.4,Mormoon,,,
Anders,OTH,,NullFlavor,2.16.840.1.113883.5.1008,Anders,,,
