ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
Structuur van articulatio temporomandibularis,53620006,,SNOMED CT,2.16.840.1.113883.6.96,Kaakgewricht,,,
Structuur van articulatio sternoclavicularis,7844006,,SNOMED CT,2.16.840.1.113883.6.96,Sternoclaviculair gewricht,,,
Structuur van articulatio acromioclavicularis,85856004,,SNOMED CT,2.16.840.1.113883.6.96,Acromioclaviculair gewricht,,,
Structuur van glenohumeraal gewricht,85537004,,SNOMED CT,2.16.840.1.113883.6.96,Schoudergewricht,,,
Structuur van articulatio cubiti,16953009,,SNOMED CT,2.16.840.1.113883.6.96,Ellebooggewricht,,,
Structuur van articulatio radiocarpalis,74670003,,SNOMED CT,2.16.840.1.113883.6.96,Polsgewricht,,,
Structuur van articulatio carpometacarpalis pollicis,30099006,,SNOMED CT,2.16.840.1.113883.6.96,Carpometacarpaal gewricht van duim,,,
MCP-gewricht van duim,56310002,,SNOMED CT,2.16.840.1.113883.6.96,Metacarpofalangeaal gewricht van duim,,,
Structuur van metacarpofalangeaal gewricht van digitus II,289002,,SNOMED CT,2.16.840.1.113883.6.96,Metacarpofalangeaal gewricht van wijsvinger,,,
Structuur van metacarpofalangeaal gewricht van digitus III,6059006,,SNOMED CT,2.16.840.1.113883.6.96,Metacarpofalangeaal gewricht van middelvinger,,,
Structuur van metacarpofalangeaal gewricht van digitus IV,13822002,,SNOMED CT,2.16.840.1.113883.6.96,Metacarpofalangeaal gewricht van ringvinger,,,
Structuur van metacarpofalangeaal gewricht van digitus V van hand,5493005,,SNOMED CT,2.16.840.1.113883.6.96,Metacarpofalangeaal gewricht van pink,,,
Structuur van interfalangeaal gewricht van digitus I van hand,115955008,,SNOMED CT,2.16.840.1.113883.6.96,Interfalangeaal gewricht van duim,,,
Structuur van proximaal interfalangeaal gewricht van digitus II van hand,371270005,,SNOMED CT,2.16.840.1.113883.6.96,Proximaal interfalangeaal gewricht van wijsvinger,,,
Structuur van proximaal interfalangeaal gewricht van digitus III van hand,371263005,,SNOMED CT,2.16.840.1.113883.6.96,Proximaal interfalangeaal gewricht van middelvinger,,,
Structuur van proximaal interfalangeaal gewricht van digitus IV van hand,371267006,,SNOMED CT,2.16.840.1.113883.6.96,Proximaal interfalangeaal gewricht van ringvinger,,,
Structuur van proximaal interfalangeaal gewricht van digitus V van hand,371233001,,SNOMED CT,2.16.840.1.113883.6.96,Proximaal interfalangeaal gewricht van pink,,,
Structuur van distaal interfalangeaal gewricht van wijsvinger,371210002,,SNOMED CT,2.16.840.1.113883.6.96,Distaal interfalangeaal gewricht van wijsvinger,,,
Structuur van distaal interfalangeaal gewricht van digitus III van hand,371218009,,SNOMED CT,2.16.840.1.113883.6.96,Distaal interfalangeaal gewricht van middelvinger,,,
Structuur van distaal interfalangeaal gewricht van digitus IV van hand,371204002,,SNOMED CT,2.16.840.1.113883.6.96,Distaal interfalangeaal gewricht van ringvinger,,,
Structuur van distaal interfalangeaal gewricht van digitus V van hand,371202003,,SNOMED CT,2.16.840.1.113883.6.96,Distaal interfalangeaal gewricht van pink,,,
Structuur van articulatio sacroiliaca,39723000,,SNOMED CT,2.16.840.1.113883.6.96,Sacroiliacaal gewricht,,,
Structuur van heupgewricht,24136001,,SNOMED CT,2.16.840.1.113883.6.96,Heupgewricht,,,
Structuur van kniegewricht,49076000,,SNOMED CT,2.16.840.1.113883.6.96,Kniegewricht,,,
Structuur van enkelgewricht,70258002,,SNOMED CT,2.16.840.1.113883.6.96,Enkelgewricht,,,
Structuur van articulatio intertarsalis,27949001,,SNOMED CT,2.16.840.1.113883.6.96,structuur van articulatio intertarsalis,,,
Structuur van metatarsofalangeaal gewricht van digitus I,27824001,,SNOMED CT,2.16.840.1.113883.6.96,Metatarsofalangeaal gewricht van grote teen,,,
Structuur van metatarsofalangeaal gewricht van digitus II,71721008,,SNOMED CT,2.16.840.1.113883.6.96,Metatarsofalangeaal gewricht van tweede teen,,,
Structuur van metatarsofalangeaal gewricht van digitus III,81247008,,SNOMED CT,2.16.840.1.113883.6.96,Metatarsofalangeaal gewricht van derde teen,,,
Structuur van metatarsofalangeaal gewricht van digitus IV,45230000,,SNOMED CT,2.16.840.1.113883.6.96,Metatarsofalangeaal gewricht van vierde teen,,,
Structuur van metatarsofalangeaal gewricht van digitus V,50133002,,SNOMED CT,2.16.840.1.113883.6.96,Metatarsofalangeaal gewricht van kleine teen,,,
Structuur van interfalangeaal gewricht van digitus I van voet,363670009,,SNOMED CT,2.16.840.1.113883.6.96,Interfalangeaal gewricht van grote teen,,,
Structuur van proximaal interfalangeaal gewricht van digitus II van voet,371292009,,SNOMED CT,2.16.840.1.113883.6.96,Proximaal interfalangeaal gewricht van tweede teen,,,
Structuur van proximaal interfalangeaal gewricht van digitus III van voet,371255009,,SNOMED CT,2.16.840.1.113883.6.96,Proximaal interfalangeaal gewricht van derde teen,,,
Structuur van proximaal interfalangeaal gewricht van digitus IV van voet,371288002,,SNOMED CT,2.16.840.1.113883.6.96,Proximaal interfalangeaal gewricht van vierde teen,,,
Structuur van proximaal interfalangeaal gewricht van digitus V van voet,371284000,,SNOMED CT,2.16.840.1.113883.6.96,Proximaal interfalangeaal gewricht van kleine (vijfde) teen,,,
Structuur van distaal interfalangeaal gewricht van digitus II van voet,371216008,,SNOMED CT,2.16.840.1.113883.6.96,Distaal interfalangeaal gewricht van tweede teen,,,
Structuur van distaal interfalangeaal gewricht van digitus III van voet,371219001,,SNOMED CT,2.16.840.1.113883.6.96,Distaal interfalangeaal gewricht van derde teen,,,
Structuur van distaal interfalangeaal gewricht van digitus IV van voet,371205001,,SNOMED CT,2.16.840.1.113883.6.96,Distaal interfalangeaal gewricht van vierde teen,,,
Structuur van distaal interfalangeaal gewricht van digitus V van voet,371203008,,SNOMED CT,2.16.840.1.113883.6.96,Distaal interfalangeaal gewricht van kleine (vijfde) teen,,,
