ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
Structuur van bovenarm,40983000,,SNOMED CT,2.16.840.1.113883.6.96,Bovenarm,,,
Structuur van rechter bovenarm,368209003,,SNOMED CT,2.16.840.1.113883.6.96,Rechter bovenarm,,,
Structuur van linker bovenarm,368208006,,SNOMED CT,2.16.840.1.113883.6.96,Linker bovenarm,,,
Structuur van bovenbeen,68367000,,SNOMED CT,2.16.840.1.113883.6.96,Bovenbeen,,,
Structuur van rechter bovenbeen,11207009,,SNOMED CT,2.16.840.1.113883.6.96,Rechter bovenbeen,,,
Structuur van linker bovenbeen,61396006,,SNOMED CT,2.16.840.1.113883.6.96,Linker bovenbeen,,,
Structuur van polsregio,8205005,,SNOMED CT,2.16.840.1.113883.6.96,Pols,,,
Structuur van rechter pols,9736006,,SNOMED CT,2.16.840.1.113883.6.96,Rechterpols,,,
Structuur van linker pols,5951000,,SNOMED CT,2.16.840.1.113883.6.96,Linkerpols,,,
"Structuur van digitus van hand, exclusief digitus I",7569003,,SNOMED CT,2.16.840.1.113883.6.96,Vinger,,,
Structuur van regio van enkel,344001,,SNOMED CT,2.16.840.1.113883.6.96,Enkel,,,
Structuur van rechter enkel,6685009,,SNOMED CT,2.16.840.1.113883.6.96,Rechterenkel,,,
Structuur van linker enkel,51636004,,SNOMED CT,2.16.840.1.113883.6.96,Linkerenkel,,,
