ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
Ziekenhuis,V4,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Ziekenhuis,,,
Universitair Medisch Centrum,V5,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Universitair Medisch Centrum,,,
Algemeen ziekenhuis,V6,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Algemeen ziekenhuis,,,
Brandwondencentrum,BRA,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Brandwondencentrum,,,
Zelfstandig behandelcentrum,Z4,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Zelfstandig behandelcentrum,,,
Diagnostisch centrum,Z5,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Diagnostisch centrum,,,
Echocentrum,B2,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Echocentrum,,,
Verplegings- of verzorgingsinstelling,X3,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Verplegings- of verzorgingsinstelling,,,
Verpleeghuis,R5,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Verpleeghuis,,,
Verzorgingstehuis,M1,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Verzorgingstehuis,,,
Apotheekinstelling,A1,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Apotheekinstelling,,,
Openbare apotheek,J8,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Openbare apotheek,,,
Zelfstandig opererende ziekenhuisapotheek,K9,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Zelfstandig opererende ziekenhuisapotheek,,,
Huisartsinstelling,H1,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Huisartsinstelling,,,
Huisartspraktijk (zelfstandig of groepspraktijk),Z3,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Huisartspraktijk (zelfstandig of groepspraktijk),,,
Apotheekhoudende huisartspraktijk,K3,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Apotheekhoudende huisartspraktijk,,,
Huisartsenpost (t.b.v. dienstwaarneming),N6,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Huisartsenpost (t.b.v. dienstwaarneming),,,
Laboratorium,L1,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Laboratorium,,,
Polikliniek (als onderdeel van een ziekenhuis),P4,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Polikliniek (als onderdeel van een ziekenhuis),,,
Revalidatiecentrum,R8,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Revalidatiecentrum,,,
Preventieve gezondheidszorg,P6,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Preventieve gezondheidszorg,,,
Geestelijke Gezondheidszorg,G5,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Geestelijke Gezondheidszorg,,,
Verstandelijk gehandicaptenzorg,G6,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Verstandelijk gehandicaptenzorg,,,
Thuiszorg,T2,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Thuiszorg,,,
Kraamzorg,K4,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Kraamzorg,,,
Hospice,H2,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Hospice,,,
Jeugdgezondheidszorg,JGZ,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Jeugdgezondheidszorg,,,
Verloskundigenpraktijk,G3,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Verloskundigenpraktijk,,,
Dialysecentrum,DIA,,RoleCodeNL,2.16.840.1.113883.2.4.15.1060,Dialysecentrum,,,
