ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
pTx,pTx,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pTx,,,
pT0,pT0,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT0,,,
pTa,pTa,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pTa,,,
pTis,pTis,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pTis,,,
pTis (DCIS),pTis (DCIS),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pTis (DCIS),,,
pTis (LAMN),pTis (LAMN),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pTis (LAMN),,,
pTis (LCIS),pTis (LCIS),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pTis (LCIS),,,
pTis (Paget),pTis (Paget),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pTis (Paget),,,
pTis pu,pTis pu,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pTis pu,,,
pT1,pT1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT1,,,
pT1mi,pT1mi,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT1mi,,,
pT1a,pT1a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT1a,,,
pT1a1,pT1a1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT1a1,,,
pT1a2,pT1a2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT1a2,,,
pT1b,pT1b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT1b,,,
pT1b1,pT1b1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT1b1,,,
pT1b2,pT1b2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT1b2,,,
pT1c,pT1c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT1c,,,
pT1c1,pT1c1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT1c1,,,
pT1c2,pT1c2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT1c2,,,
pT1c3,pT1c3,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT1c3,,,
pT1d,pT1d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT1d,,,
pT2,pT2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT2,,,
pT2a,pT2a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT2a,,,
pT2a1,pT2a1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT2a1,,,
pT2a2,pT2a2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT2a2,,,
pT2b,pT2b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT2b,,,
pT2c,pT2c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT2c,,,
pT2d,pT2d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT2d,,,
pT3,pT3,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT3,,,
pT3a,pT3a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT3a,,,
pT3b,pT3b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT3b,,,
pT3c,pT3c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT3c,,,
pT3d,pT3d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT3d,,,
pT4,pT4,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT4,,,
pT4a,pT4a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT4a,,,
pT4b,pT4b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT4b,,,
pT4c,pT4c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT4c,,,
pT4d,pT4d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT4d,,,
pT4e,pT4e,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,pT4e,,,
