ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
rcNX,rcNX,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rcNX,,,
rcNX(f),rcNX(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rcNX(f),,,
rcNX(sn),rcNX(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rcNX(sn),,,
rcN0,rcN0,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rcN0,,,
rcN0(f),rcN0(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rcN0(f),,,
rcN0(sn),rcN0(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rcN0(sn),,,
rcN0(i-),rcN0(i-),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rcN0(i-),,,
rcN0(i-)(sn),rcN0(i-)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rcN0(i-)(sn),,,
rcN0(i+),rcN0(i+),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rcN0(i+),,,
rcN0(i+)(sn),rcN0(i+)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rcN0(i+)(sn),,,
rcN0(mol-),rcN0(mol-),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rcN0(mol-),,,
rcN0(mol-)(sn),rcN0(mol-)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rcN0(mol-)(sn),,,
rcN0(mol+),rcN0(mol+),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rcN0(mol+),,,
rcN0(mol+)(sn),rcN0(mol+)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rcN0(mol+)(sn),,,
rcN1,rcN1,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rcN1,,,
rcN1(f),rcN1(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rcN1(f),,,
rcN1(sn),rcN1(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rcN1(sn),,,
rcN1mi,rcN1mi,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rcN1mi,,,
rcN1mi(f),rcN1mi(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rcN1mi(f),,,
