ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
rcM0,rcM0,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rcM0,,,
rcM0(i+),rcM0(i+),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rcM0(i+),,,
rcM0(mol+),rcM0(mol+),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rcM0(mol+),,,
rcM1,rcM1,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rcM1,,,
rcM1a,rcM1a,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rcM1a,,,
rcM1a(0),rcM1a(0),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rcM1a(0),,,
rcM1a(1),rcM1a(1),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rcM1a(1),,,
rcM1b,rcM1b,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rcM1b,,,
rcM1b(0),rcM1b(0),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rcM1b(0),,,
rcM1b(1),rcM1b(1),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rcM1b(1),,,
rcM1c,rcM1c,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rcM1c,,,
rcM1c(0),rcM1c(0),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rcM1c(0),,,
rcM1c(1),rcM1c(1),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rcM1c(1),,,
rcM1d,rcM1d,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rcM1d,,,
rcM1d(0),rcM1d(0),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rcM1d(0),,,
rcM1d(1),rcM1d(1),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rcM1d(1),,,
rpM1,rpM1,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rpM1,,,
rpM1a,rpM1a,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rpM1a,,,
rpM1a(0),rpM1a(0),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rpM1a(0),,,
rpM1a(1),rpM1a(1),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rpM1a(1),,,
rpM1b,rpM1b,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rpM1b,,,
rpM1b(0),rpM1b(0),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rpM1b(0),,,
rpM1b(1),rpM1b(1),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rpM1b(1),,,
rpM1c,rpM1c,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rpM1c,,,
rpM1c(0),rpM1c(0),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rpM1c(0),,,
rpM1c(1),rpM1c(1),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rpM1c(1),,,
rpM1d,rpM1d,,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rpM1d,,,
rpM1d(0),rpM1d(0),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rpM1d(0),,,
rpM1d(1),rpM1d(1),,M_Afstandsmetastase,2.16.840.1.113883.2.4.3.11.60.40.4.10.3,rpM1d(1),,,
