ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
rcTx,rcTx,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcTx,,,
rcT0,rcT0,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT0,,,
rcTa,rcTa,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcTa,,,
rcTis,rcTis,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcTis,,,
rcTis (DCIS),rcTis (DCIS),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcTis (DCIS),,,
rcTis (LAMN),rcTis (LAMN),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcTis (LAMN),,,
rcTis (LCIS),rcTis (LCIS),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcTis (LCIS),,,
rcTis (Paget),rcTis (Paget),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcTis (Paget),,,
rcTis pu,rcTis pu,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcTis pu,,,
rcT1,rcT1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT1,,,
rcT1mi,rcT1mi,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT1mi,,,
rcT1a,rcT1a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT1a,,,
rcT1a1,rcT1a1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT1a1,,,
rcT1a2,rcT1a2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT1a2,,,
rcT1b,rcT1b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT1b,,,
rcT1b1,rcT1b1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT1b1,,,
rcT1b2,rcT1b2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT1b2,,,
rcT1c,rcT1c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT1c,,,
rcT1c1,rcT1c1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT1c1,,,
rcT1c2,rcT1c2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT1c2,,,
rcT1c3,rcT1c3,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT1c3,,,
rcT1d,rcT1d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT1d,,,
rcT2,rcT2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT2,,,
rcT2a,rcT2a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT2a,,,
rcT2a1,rcT2a1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT2a1,,,
rcT2a2,rcT2a2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT2a2,,,
rcT2b,rcT2b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT2b,,,
rcT2c,rcT2c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT2c,,,
rcT2d,rcT2d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT2d,,,
rcT3,rcT3,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT3,,,
rcT3a,rcT3a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT3a,,,
rcT3b,rcT3b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT3b,,,
rcT3c,rcT3c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT3c,,,
rcT3d,rcT3d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT3d,,,
rcT3e,rcT3e,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT3e,,,
rcT4,rcT4,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT4,,,
rcT4a,rcT4a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT4a,,,
rcT4b,rcT4b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT4b,,,
rcT4c,rcT4c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT4c,,,
rcT4d,rcT4d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT4d,,,
rcT4e,rcT4e,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rcT4e,,,
