ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
Medicatie gestart,266709005,,SNOMED CT,2.16.840.1.113883.6.96,Starten medicamenteuze behandeling,,,
Toedienen van medicatie gecontra-indiceerd,438833006,,SNOMED CT,2.16.840.1.113883.6.96,Contra-indicatie,,,
Geneesmiddelinteractie,79899007,,SNOMED CT,2.16.840.1.113883.6.96,Interactie,,,
Toestand van overgevoeligheid,473010000,,SNOMED CT,2.16.840.1.113883.6.96,Overgevoeligheid,,,
Geen of onvoldoende effect,5,,Medicatieafspraak Reden,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.2,Geen of onvoldoende effect(DEPRECATED),,,
Gebrek aan geneesmiddeleffect,58848006,,SNOMED CT,2.16.840.1.113883.6.96,Geen of onvoldoende effect,,,
Te sterk effect,6,,Medicatieafspraak Reden,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.2,Te sterk effect(DEPRECATED),,,
Te sterk effect van medicatie,112251000146103,,SNOMED CT,2.16.840.1.113883.6.96,Te sterk effect,,,
(Mogelijke) bijwerking,7,,Medicatieafspraak Reden,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.2,(Mogelijke) bijwerking(DEPRECATED),,,
Loopt risico op bijwerking van medicatie,704417003,,SNOMED CT,2.16.840.1.113883.6.96,(Mogelijke) bijwerking,,,
Toedieningsweg voldoet niet,8,,Medicatieafspraak Reden,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.2,Toedieningsweg voldoet niet (DEPRECATED),,,
Medicatietoedieningsweg voldoet niet,112191000146101,,SNOMED CT,2.16.840.1.113883.6.96,Toedieningsweg voldoet niet,,,
Indicatie vervallen,9,,Medicatieafspraak Reden,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.2,Indicatie vervallen(DEPRECATED),,,
Geen indicatie voor medicamenteuze behandeling,183966005,,SNOMED CT,2.16.840.1.113883.6.96,Indicatie vervallen,,,
Beleidswijziging,10,,Medicatieafspraak Reden,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.2,Beleidswijziging(DEPRECATED),,,
Medication management changed (situation),112751000146109,,Medicatieafspraak Reden,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.2,Beleidswijziging,,,
Opname in instelling,305335007,,SNOMED CT,2.16.840.1.113883.6.96,Opname,,,
Wens patiënt,12,,Medicatieafspraak Reden,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.2,Wens patiënt(DEPRECATED),,,
Verzoek van zorgafnemer om behandeling,184003006,,SNOMED CT,2.16.840.1.113883.6.96,Wens patiënt,,,
Volgens afspraak,13,,Medicatieafspraak Reden,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.2,Volgens afspraak(DEPRECATED),,,
Behandeling volgens afspraak met patiënt,112211000146102,,SNOMED CT,2.16.840.1.113883.6.96,Volgens afspraak,,,
Hervatten beleid vorige voorschrijver,14,,Medicatieafspraak Reden,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.2,Hervatten beleid vorige voorschrijver(DEPRECATED),,,
Hervatten van beleid van vorige voorschrijver,112261000146100,,SNOMED CT,2.16.840.1.113883.6.96,Hervatten beleid vorige voorschrijver,,,
Geplande procedure,15,,Medicatieafspraak Reden,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.2,"Procedure waaronder ingreep, interferentie met gepland labonderzoek, etc.(DEPRECATED)",,,
Verrichting gepland,405613005,,SNOMED CT,2.16.840.1.113883.6.96,"Procedure waaronder ingreep, interferentie met gepland labonderzoek, etc.",,,
Overig,OTH,,NullFlavour,2.16.840.1.113883.5.1008,Overig,,,
