ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
Medicatie gestart,266709005,,SNOMED CT ,2.16.840.1.113883.6.96,Starten medicamenteuze behandeling [DEPRECATED],,,
Toedienen van medicatie gecontra-indiceerd,438833006,,SNOMED CT ,2.16.840.1.113883.6.97,Starten medicamenteuze behandeling [DEPRECATED],,,
Geneesmiddelinteractie,79899007,,SNOMED CT ,2.16.840.1.113883.6.98,Geneesmiddelinteractie,,,
Ongewenste reactie op medicatie en/of drugs,62014003,,SNOMED CT ,2.16.840.1.113883.6.99,Ongewenste reactie op medicatie en/of drugs,,,
Toestand van overgevoeligheid,473010000,,SNOMED CT ,2.16.840.1.113883.6.100,Overgevoeligheid [DEPRECATED],,,
Gebrek aan geneesmiddeleffect,58848006,,SNOMED CT ,2.16.840.1.113883.6.101,Gebrek aan geneesmiddeleffect,,,
Te sterk effect van medicatie,112251000146103,,SNOMED CT ,2.16.840.1.113883.6.102,Te sterk effect van medicatie,,,
Risico op bijwerking van medicatie,704417003,,SNOMED CT ,2.16.840.1.113883.6.103,(Mogelijke) bijwerking [DEPRECATED],,,
Medicatietoedieningsweg voldoet niet,112191000146101,,SNOMED CT ,2.16.840.1.113883.6.104,Medicatietoedieningsweg voldoet niet,,,
Geen indicatie voor medicamenteuze behandeling,183966005,,SNOMED CT ,2.16.840.1.113883.6.105,Geen indicatie voor medicamenteuze behandeling,,,
Medicatiebeleid veranderd,112751000146109,,SNOMED CT ,2.16.840.1.113883.6.106,Medicatiebeleids veranderd,,,
Opname in instelling,305335007,,SNOMED CT ,2.16.840.1.113883.6.107,Opname in instelling,,,
Verzoek van zorgafnemer om behandeling te wijzigen,159711000146106,,SNOMED CT ,2.16.840.1.113883.6.108,Verzoek van zorgafnemer om behandeling te wijzigen,,,
Verzoek van zorgafnemer om behandeling,184003006,,SNOMED CT ,2.16.840.1.113883.6.109,Wens patiënt [DEPRECATED],,,
Behandeling volgens afspraak met patiënt,112211000146102,,SNOMED CT ,2.16.840.1.113883.6.110,Volgens afspraak [DEPRECATED],,,
Hervatten van beleid van vorige voorschrijver,112261000146100,,SNOMED CT ,2.16.840.1.113883.6.111,Hervatten beleid vorige voorschrijver,,,
Verrichting gepland,405613005,,SNOMED CT ,2.16.840.1.113883.6.112,Verrichting gepland,,,
Foutieve registratie van medicatie,159691000146109,,SNOMED CT ,2.16.840.1.113883.6.113,Foutieve registratie van medicatie,,,
Geneesmiddel niet voorradig,182856006,,SNOMED CT ,2.16.840.1.113883.6.114,Geneesmiddel niet voorradig,,,
Verandering in uitslag van laboratoriumonderzoek,160131000146104,,SNOMED CT ,2.16.840.1.113883.6.115,Verandering in labwaarde,,,
Patiëntvriendelijk-Nederlandse taalreferentieset op leesniveau B1,160161000146108,,SNOMED CT ,2.16.840.1.113883.6.116,Dubbele registratie van medicamenteuze behandeling,,,
Medicatiegebruik van patiënt volgens afspraak,112221000146107,,SNOMED CT ,2.16.840.1.113883.6.117,Medicatiegebruik van patient volgens afspraak,,,
Overig,OTH,,NullFlavor,2.16.840.1.113883.5.1008,Overig,,,
