ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
Eerste relatie/contactpersoon,1,,COD821-VEKT,2.16.840.1.113883.2.4.3.11.22.472,Eerste relatie/contactpersoon,,,
Tweede relatie/contactpersoon,2,,COD821-VEKT,2.16.840.1.113883.2.4.3.11.22.472,Tweede relatie/contactpersoon,,,
Curator (juridisch),3,,COD821-VEKT,2.16.840.1.113883.2.4.3.11.22.472,Curator (juridisch),,,
Financieel (gemachtigd),4,,COD821-VEKT,2.16.840.1.113883.2.4.3.11.22.472,Financieel (gemachtigd),,,
Financieel (toetsing),5,,COD821-VEKT,2.16.840.1.113883.2.4.3.11.22.472,Financieel (toetsing),,,
Leefeenheid,6,,COD821-VEKT,2.16.840.1.113883.2.4.3.11.22.472,Leefeenheid,,,
Hulpverlener,7,,COD821-VEKT,2.16.840.1.113883.2.4.3.11.22.472,Hulpverlener,,,
Anders,9,,COD821-VEKT,2.16.840.1.113883.2.4.3.11.22.472,Anders,,,
Voogd,11,,COD821-VEKT,2.16.840.1.113883.2.4.3.11.22.472,Voogd,,,
Bewindvoerder,14,,COD821-VEKT,2.16.840.1.113883.2.4.3.11.22.472,Bewindvoerder,,,
Mentor,15,,COD821-VEKT,2.16.840.1.113883.2.4.3.11.22.472,Mentor,,,
Buur,19,,COD821-VEKT,2.16.840.1.113883.2.4.3.11.22.472,Buur,,,
Vriend(in)/kennis,20,,COD821-VEKT,2.16.840.1.113883.2.4.3.11.22.472,Vriend(in)/kennis,,,
Cliëntondersteuner,21,,COD821-VEKT,2.16.840.1.113883.2.4.3.11.22.472,Cliëntondersteuner,,,
Contactpersoon,23,,COD821-VEKT,2.16.840.1.113883.2.4.3.11.22.472,Contactpersoon,,,
Wettelijke vertegenwoordiger,24,,COD821-VEKT,2.16.840.1.113883.2.4.3.11.22.472,Wettelijke vertegenwoordiger,,,
Mantelzorger,100001,,ExtraRolcodes,2.16.840.1.113883.2.4.3.11.60.40.4.23.1,Mantelzorger,,,
Geestelijk verzorger,100002,,ExtraRolcodes,2.16.840.1.113883.2.4.3.11.60.40.4.23.1,Geestelijk verzorger,,,
Tolk,100003,,ExtraRolcodes,2.16.840.1.113883.2.4.3.11.60.40.4.23.1,Tolk,,,
Advocaat,100004,,ExtraRolcodes,2.16.840.1.113883.2.4.3.11.60.40.4.23.1,Advocaat,,,
