ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
Eerste contactpersoon,300481000146102,,SNOMED CT,2.16.840.1.113883.6.96,Eerste contactpersoon,,,
Secundair contactpersoon,300531000146100,,SNOMED CT,2.16.840.1.113883.6.96,Secundair contactpersoon,,,
Curator,1269519005,,SNOMED CT,2.16.840.1.113883.6.96,Curator,,,
Mentor,300561000146109,,SNOMED CT,2.16.840.1.113883.6.96,Mentor,,,
Schriftelijk gemachtigde zorg en behandeling,310141000146103,,SNOMED CT,2.16.840.1.113883.6.96,Schriftelijk gemachtigde zorg en behandeling,,,
Bewindvoerder,300551000146106,,SNOMED CT,2.16.840.1.113883.6.96,Bewindvoerder,,,
Zaakwaarnemer,300591000146104,,SNOMED CT,2.16.840.1.113883.6.96,Zaakwaarnemer,,,
Schriftelijk financieel gemachtigde,300581000146101,,SNOMED CT,2.16.840.1.113883.6.96,Schriftelijk gemachtigde financieel,,,
Representative in case of mental incapacity,310371000146106,,SNOMED CT,2.16.840.1.113883.6.96,Vertegenwoordiger bij wilsonbekwaamheid,,,
Voogd,394619001,,SNOMED CT,2.16.840.1.113883.6.96,Voogd,,,
Legal advocate based on parental authority,310361000146100,,SNOMED CT,2.16.840.1.113883.6.96,Wettelijk vertegenwoordiger op grond van ouderlijk gezag,,,
Mantelzorger,407542009,,SNOMED CT,2.16.840.1.113883.6.96,Mantelzorger,,,
Geestelijk adviseur,768733004,,SNOMED CT,2.16.840.1.113883.6.96,Geestelijk verzorger,,,
Tolk,40570005,,SNOMED CT,2.16.840.1.113883.6.96,Tolk,,,
Advocaat,12877000,,SNOMED CT,2.16.840.1.113883.6.96,Advocaat,,,
Leraar,106304008,,SNOMED CT,2.16.840.1.113883.6.96,Docent,,,
Vertrouwenspersoon,300601000146109,,SNOMED CT,2.16.840.1.113883.6.96,Patiëntvertrouwenspersoon,,,
Werkgever,394571004,,SNOMED CT,2.16.840.1.113883.6.96,Werkgever,,,
Begeleider,300491000146100,,SNOMED CT,2.16.840.1.113883.6.96,Begeleider,,,
Other,OTH,,NullFlavor,2.16.840.1.113883.5.1008,Anders,,,

