ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
rpNX,rpNX,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpNX,,,
rpNX(f),rpNX(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpNX(f),,,
rpNX(sn),rpNX(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpNX(sn),,,
rpN0,rpN0,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN0,,,
rpN0(f),rpN0(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN0(f),,,
rpN0(sn),rpN0(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN0(sn),,,
rpN0(i-),rpN0(i-),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN0(i-),,,
rpN0(i-)(sn),rpN0(i-)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN0(i-)(sn),,,
rpN0(i+),rpN0(i+),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN0(i+),,,
rpN0(i+)(sn),rpN0(i+)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN0(i+)(sn),,,
rpN0(mol-),rpN0(mol-),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN0(mol-),,,
rpN0(mol-)(sn),rpN0(mol-)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN0(mol-)(sn),,,
rpN0(mol+),rpN0(mol+),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN0(mol+),,,
rpN0(mol+)(sn),rpN0(mol+)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN0(mol+)(sn),,,
rpN1,rpN1,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN1,,,
rpN1(f),rpN1(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN1(f),,,
rpN1(sn),rpN1(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN1(sn),,,
rpN1mi,rpN1mi,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN1mi,,,
rpN1mi(f),rpN1mi(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN1mi(f),,,
rpN1mi(sn),rpN1mi(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN1mi(sn),,,
rpN1a,rpN1a,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN1a,,,
rpN1a(f),rpN1a(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN1a(f),,,
rpN1a(sn),rpN1a(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN1a(sn),,,
rpN1b,rpN1b,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN1b,,,
rpN1b(f),rpN1b(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN1b(f),,,
rpN1b(sn),rpN1b(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN1b(sn),,,
rpN1c,rpN1c,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN1c,,,
rpN1c(f),rpN1c(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN1c(f),,,
rpN1c(sn),rpN1c(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN1c(sn),,,
rpN2,rpN2,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN2,,,
rpN2(f),rpN2(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN2(f),,,
rpN2(sn),rpN2(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN2(sn),,,
rpN2a,rpN2a,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN2a,,,
rpN2a(f),rpN2a(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN2a(f),,,
rpN2a(sn),rpN2a(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN2a(sn),,,
rpN2b,rpN2b,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN2b,,,
rpN2b(f),rpN2b(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN2b(f),,,
rpN2b(sn),rpN2b(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN2b(sn),,,
rpN2c,rpN2c,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN2c,,,
rpN2c(f),rpN2c(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN2c(f),,,
rpN2c(sn),rpN2c(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN2c(sn),,,
rpN3,rpN3,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN3,,,
rpN3(f),rpN3(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN3(f),,,
rpN3(sn),rpN3(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN3(sn),,,
rpN3a,rpN3a,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN3a,,,
rpN3a(f),rpN3a(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN3a(f),,,
rpN3a(sn),rpN3a(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN3a(sn),,,
rpN3b,rpN3b,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN3b,,,
rpN3b(f),rpN3b(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN3b(f),,,
rpN3b(sn),rpN3b(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN3b(sn),,,
rpN3c,rpN3c,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN3c,,,
rpN3c(f),rpN3c(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,rpN3c(f),,,
