ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
rpTx,rpTx,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpTx,,,
rpT0,rpT0,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT0,,,
rpTa,rpTa,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpTa,,,
rpTis,rpTis,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpTis,,,
rpTis (DCIS),rpTis (DCIS),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpTis (DCIS),,,
rpTis (LAMN),rpTis (LAMN),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpTis (LAMN),,,
rpTis (LCIS),rpTis (LCIS),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpTis (LCIS),,,
rpTis (Paget),rpTis (Paget),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpTis (Paget),,,
rpTis pu,rpTis pu,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpTis pu,,,
rpT1,rpT1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT1,,,
rpT1mi,rpT1mi,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT1mi,,,
rpT1a,rpT1a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT1a,,,
rpT1a1,rpT1a1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT1a1,,,
rpT1a2,rpT1a2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT1a2,,,
rpT1b,rpT1b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT1b,,,
rpT1b1,rpT1b1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT1b1,,,
rpT1b2,rpT1b2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT1b2,,,
rpT1c,rpT1c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT1c,,,
rpT1c1,rpT1c1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT1c1,,,
rpT1c2,rpT1c2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT1c2,,,
rpT1c3,rpT1c3,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT1c3,,,
rpT1d,rpT1d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT1d,,,
rpT2,rpT2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT2,,,
rpT2a,rpT2a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT2a,,,
rpT2a1,rpT2a1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT2a1,,,
rpT2a2,rpT2a2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT2a2,,,
rpT2b,rpT2b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT2b,,,
rpT2c,rpT2c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT2c,,,
rpT2d,rpT2d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT2d,,,
rpT3,rpT3,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT3,,,
rpT3a,rpT3a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT3a,,,
rpT3b,rpT3b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT3b,,,
rpT3c,rpT3c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT3c,,,
rpT3d,rpT3d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT3d,,,
rpT4,rpT4,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT4,,,
rpT4a,rpT4a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT4a,,,
rpT4b,rpT4b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT4b,,,
rpT4c,rpT4c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT4c,,,
rpT4d,rpT4d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT4d,,,
rpT4e,rpT4e,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,rpT4e,,,
