ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
Geforceerd toedienen van voeding bij patiënt,37041007,,SNOMED CT,2.16.840.1.113883.6.96,Toedienen van vocht en voeding,,,
Gedwongen toedienen van medicatie,29211000146105,,SNOMED CT,2.16.840.1.113883.6.96,Toedienen van medicatie,,,
Mechanische fixatie met arm- en beenspalk,123941000146105,,SNOMED CT,2.16.840.1.113883.6.96,Arm- en beenspalk,,,
Mechanische fixatie met veiligheidshandschoen,123971000146100,,SNOMED CT,2.16.840.1.113883.6.96,Veiligheidshandschoen,,,
Mechanische fixatie met polsband,123891000146106,,SNOMED CT,2.16.840.1.113883.6.96,Enkelbanden,,,
Mechanische fixatie met enkelband,124031000146100,,SNOMED CT,2.16.840.1.113883.6.96,Polsbanden,,,
Mechanische fixatie met onrustband,123961000146106,,SNOMED CT,2.16.840.1.113883.6.96,Onrustband,,,
Mechanische fixatie met stoelfixatie,123901000146107,,SNOMED CT,2.16.840.1.113883.6.96,Stoelfixatie,,,
Mechanische fixatie met verpleegdeken,123951000146108,,SNOMED CT,2.16.840.1.113883.6.96,Verpleegdeken,,,
Mechanische fixatie met extra laag bed,124001000146105,,SNOMED CT,2.16.840.1.113883.6.96,Extra laag bed,,,
Mechanische fixatie met onvrijwillige halve bedhekken,123931000146102,,SNOMED CT,2.16.840.1.113883.6.96,Onvrijwillige halve bedhekken,,,
Mechanische fixatie met rolkussen,123991000146101,,SNOMED CT,2.16.840.1.113883.6.96,Rolkussen/bedpositioneringskussen,,,
Mechanische fixatie met wigvormig kussen,124011000146107,,SNOMED CT,2.16.840.1.113883.6.96,Wigvormig kussen/kantelkussen,,,
Mechanische fixatie met onvrijwillige hele bedhekken,123921000146104,,SNOMED CT,2.16.840.1.113883.6.96,Onvrijwillige hele  bedhekken,,,
Mechanische fixatie met beschermhelm,123981000146103,,SNOMED CT,2.16.840.1.113883.6.96,Beschermhelm,,,
Mechanische fixatie met tentbed,123911000146109,,SNOMED CT,2.16.840.1.113883.6.96,Tentbed,,,
Mechanische fixatie met rolstoelblad,124021000146102,,SNOMED CT,2.16.840.1.113883.6.96,Tafelblad/rolstoelblad,,,
Constante supervisie met camera,121411000146104,,SNOMED CT,2.16.840.1.113883.6.96,Cameramonitoring,,,
Constante supervisie met bedsensor,121401000146101,,SNOMED CT,2.16.840.1.113883.6.96,Belmat/bedsensor,,,
Constante supervisie met bewegingssensor,121431000146106,,SNOMED CT,2.16.840.1.113883.6.96,Bewegingsalarm/bewegingssensor,,,
Constante supervisie met opsta-alarm,121441000146103,,SNOMED CT,2.16.840.1.113883.6.96,Opsta alarm,,,
Constante supervisie met verlaten-kameralarm,121421000146109,,SNOMED CT,2.16.840.1.113883.6.96,Verlaten kamer alarm,,,
Constante supervisie met akoestische bewaking,121391000146104,,SNOMED CT,2.16.840.1.113883.6.96,Akoestische bewaking,,,
Beperken van gebruik van communicatiemiddelen,121471000146108,,SNOMED CT,2.16.840.1.113883.6.96,Beperking in gebruik communicatiemiddelen,,,
,,,,,,,,
