ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
Geforceerd toedienen van voeding bij patiënt,37041007,,SNOMED CT,2.16.840.1.113883.6.96,Toedienen van vocht en voeding,,,
Gedwongen toedienen van medicatie,29211000146105,,SNOMED CT,2.16.840.1.113883.6.96,Toedienen van medicatie,,,
Gedwongen handeling,123881000146109,,SNOMED CT,2.16.840.1.113883.6.96,Het verrichten van medische controles en handelingen,,,
Vasthouden,225212001,,SNOMED CT,2.16.840.1.113883.6.96,Fysieke fixatie,,,
Aanbrengen van middel voor fysieke beperking,68894007,,SNOMED CT,2.16.840.1.113883.6.96,Mechanische fixatie,,,
Geslotendeurprocedure,225210009,,SNOMED CT,2.16.840.1.113883.6.96,Plaatsing op een gesloten afdeling,,,
Met dwang beperken van bewegingsvrijheid,130201000146105,,SNOMED CT,2.16.840.1.113883.6.96,Overige beperking van de bewegingsvrijheid,,,
Separeren in separeerverblijf,124061000146109,,SNOMED CT,2.16.840.1.113883.6.96,Insluiten in een separeerverblijf,,,
Separeren in afzonderingsruimte,124071000146103,,SNOMED CT,2.16.840.1.113883.6.96,Insluiten in een afzonderingsruimte,,,
Separeren in verblijfsruimte van patiënt,124051000146106,,SNOMED CT,2.16.840.1.113883.6.96,Insluiten in de eigen kamer,,,
Separeren van patiënt,90278001,,SNOMED CT,2.16.840.1.113883.6.96,Overige vormen van insluiten,,,
Constante supervisie met camera,121411000146104,,SNOMED CT,2.16.840.1.113883.6.96,Cameramonitoring,,,
Constante supervisie met elektronisch traceringsmiddel,121451000146100,,SNOMED CT,2.16.840.1.113883.6.96,Toezicht  met elektronische traceringsmiddelen,,,
Constante supervisie,225309002,,SNOMED CT,2.16.840.1.113883.6.96,Toezicht met andere elektronische middelen,,,
Onderzoek aan kleding en/of lichaam,121631000146108,,SNOMED CT,2.16.840.1.113883.6.96,Onderzoek aan kleding of lichaam,,,
Opsporen van gevaarlijk object,62407006,,SNOMED CT,2.16.840.1.113883.6.96,Onderzoek van woon-/verblijfruimte op gedrag-beïnvloedende middelen en gevaarlijke voorwerpen,,,
Controle op aanwezigheid van gedragsbeïnvloedende middelen,121621000146106,,SNOMED CT,2.16.840.1.113883.6.96,Controleren op de aanwezigheid van gedrag-beïnvloedende middelen,,,
Beperken van gebruik van communicatiemiddelen,121471000146108,,SNOMED CT,2.16.840.1.113883.6.96,Beperking in gebruik communicatiemiddelen,,,
Handelingen met betrekking tot het beperken van inrichten van eigen leven,121461000146102,,SNOMED CT,2.16.840.1.113883.6.96,Overige beperkingen eigen leven in te richten,,,
Beperken van recht op ontvangen van bezoek,121601000146103,,SNOMED CT,2.16.840.1.113883.6.96,Beperken van het recht op het ontvangen van bezoek,,,
