ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
Anafylaxie,39579001,,SNOMED CT,2.16.840.1.113883.6.96,Anafylaxie,,,
Angio-oedeem,41291007,,SNOMED CT,2.16.840.1.113883.6.96,Angio-oedeem,,,
Overgevoeligheidsreactie van bovenste luchtweg,490008,,SNOMED CT,2.16.840.1.113883.6.96,Overgevoeligheidsreactie van de bovenste luchtwegen,,,
Dyspneu,267036007,,SNOMED CT,2.16.840.1.113883.6.96,Kortademigheid,,,
Bronchospasme,4386001,,SNOMED CT,2.16.840.1.113883.6.96,Bronchospasme,,,
Urticaria,126485001,,SNOMED CT,2.16.840.1.113883.6.96,Urticaria,,,
Contacteczeem,40275004,,SNOMED CT,2.16.840.1.113883.6.96,Contactdermatitis,,,
Jeukende huid,418363000,,SNOMED CT,2.16.840.1.113883.6.96,Jeuk,,,
Eruptie van huid,271807003,,SNOMED CT,2.16.840.1.113883.6.96,Exantheem,,,
Allergische conjunctivitis,473460002,,SNOMED CT,2.16.840.1.113883.6.96,Allergische conjunctivitis,,,
Toxische epidermale necrolyse [DEPRECATED],23067006,,SNOMED CT,2.16.840.1.113883.6.96,Toxische epidermale necrolyse,,,
Toxische epidermale necrolyse,768962006,,SNOMED CT,2.16.840.1.113883.6.96,Syndroom van Lyle,,,
Misselijkheid en braken,16932000,,SNOMED CT,2.16.840.1.113883.6.96,Misselijk en braken,,,
Diarree,62315008,,SNOMED CT,2.16.840.1.113883.6.96,Diarree,,,
Medicatiegeïnduceerde erythema multiforme,297942002,,SNOMED CT,2.16.840.1.113883.6.96,Door medicatie veroorzaakte erythema multiforme,,,
Koorts,386661006,,SNOMED CT,2.16.840.1.113883.6.96,Koorts,,,
Overig,OTH,,NullFlavor,2.16.840.1.113883.5.1008,Overig,,,
