ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
AJCC 1ste editie,AJCCTNM1,,TNMVersie,2.16.840.1.113883.2.4.3.11.60.40.4.10.8,AJCC TNM 1ste editie,,,
AJCC 2e editie,AJCCTNM2,,TNMVersie,2.16.840.1.113883.2.4.3.11.60.40.4.10.8,AJCC TNM 2e editie,,,
AJCC 3e editie,AJCCTNM3,,TNMVersie,2.16.840.1.113883.2.4.3.11.60.40.4.10.8,AJCC TNM 3e editie,,,
AJCC 4e editie,AJCCTNM4,,TNMVersie,2.16.840.1.113883.2.4.3.11.60.40.4.10.8,AJCC TNM 4e editie,,,
AJCC 5e editie,AJCCTNM5,,TNMVersie,2.16.840.1.113883.2.4.3.11.60.40.4.10.8,AJCC TNM 5e editie,,,
AJCC 6e editie,AJCCTNM6,,TNMVersie,2.16.840.1.113883.2.4.3.11.60.40.4.10.8,AJCC TNM 6e editie,,,
AJCC 7e editie,AJCCTNM7,,TNMVersie,2.16.840.1.113883.2.4.3.11.60.40.4.10.8,AJCC TNM 7e editie,,,
AJCC 8e editie,AJCCTNM8,,TNMVersie,2.16.840.1.113883.2.4.3.11.60.40.4.10.8,AJCC TNM 8e editie,,,
AJCC 9e editie,AJCCTNM9,,TNMVersie,2.16.840.1.113883.2.4.3.11.60.40.4.10.8,AJCC TNM 9e editie,,,
UICC  1ste editie,UICCTNM1,,TNMVersie,2.16.840.1.113883.2.4.3.11.60.40.4.10.8,UICC TNM 1ste editie,,,
UICC 2e editie,UICCTNM2,,TNMVersie,2.16.840.1.113883.2.4.3.11.60.40.4.10.8,UICC TNM 2e editie,,,
UICC 3e editie,UICCTNM3,,TNMVersie,2.16.840.1.113883.2.4.3.11.60.40.4.10.8,UICC TNM 3e editie,,,
UICC 4e editie,UICCTNM4,,TNMVersie,2.16.840.1.113883.2.4.3.11.60.40.4.10.8,UICC TNM 4e editie,,,
UICC 5e editie,UICCTNM5,,TNMVersie,2.16.840.1.113883.2.4.3.11.60.40.4.10.8,UICC TNM 5e editie,,,
UICC 6e editie,UICCTNM6,,TNMVersie,2.16.840.1.113883.2.4.3.11.60.40.4.10.8,UICC TNM 6e editie,,,
UICC 7e editie,UICCTNM7,,TNMVersie,2.16.840.1.113883.2.4.3.11.60.40.4.10.8,UICC TNM 7e editie,,,
UICC 8e editie,UICCTNM8,,TNMVersie,2.16.840.1.113883.2.4.3.11.60.40.4.10.8,UICC TNM 8e editie,,,
