ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
Geneesmiddel niet verstrekt,1,,Voorlopige aanvullende informatie toedieningsafspraak,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.3.999,Geneesmiddel niet verstrekt,,,
Niet leverbaar,2,,Voorlopige aanvullende  informatie toedieningsafspraak,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.3.999,Niet leverbaar,,,
Medicatieafspraak gewijzigd: substantie,3,,Voorlopige aanvullende informatie toedieningsafspraak,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.3.999,Medicatieafspraak gewijzigd: substantie,,,
Medicatieafspraak gewijzigd: dosering,4,,Voorlopige aanvullende informatie toedieningsafspraak,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.3.999,Medicatieafspraak gewijzigd: dosering,,,
Medicatieafspraak gewijzigd: farmaceutische vorm,5,,Voorlopige aanvullende informatie toedieningsafspraak,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.3.999,Medicatieafspraak gewijzigd: farmaceutische vorm,,,
Medicatieafspraak gewijzigd: verwisseling van persoon,6,,Voorlopige aanvullende informatie toedieningsafspraak,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.3.999,Medicatieafspraak gewijzigd: verwisseling van persoon,,,
Machtiging aangevraagd,7,,Voorlopige aanvullende informatie toedieningsafspraak,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.3.999,Machtiging aangevraagd,,,
Machtiging afgewezen,8,,Voorlopige aanvullende informatie toedieningsafspraak,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.3.999,Machtiging afgewezen,,,
Machtiging in gebruik nemen,9,,Voorlopige aanvullende informatie toedieningsafspraak,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.3.999,Machtiging in gebruik nemen,,,
Gebruiksinstructie gegeven,10,,Voorlopige aanvullende informatie toedieningsafspraak,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.3.999,Gebruiksinstructie gegeven,,,
Controle inhalatietechniek,11,,Voorlopige aanvullende informatie toedieningsafspraak,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.3.999,Controle inhalatietechniek,,,
Meter periodieke controle,12,,Voorlopige aanvullende informatie toedieningsafspraak,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.3.999,Meter periodieke controle,,,
Pen controle/omruil,13,,Voorlopige aanvullende informatie toedieningsafspraak,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.3.999,Pen controle/omruil,,,
Bijwerking besproken,14,,Voorlopige aanvullende informatie toedieningsafspraak,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.3.999,Bijwerking besproken,,,
Afhandeling bijwerking niet-lareb,15,,Voorlopige aanvullende informatie toedieningsafspraak,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.3.999,Afhandeling bijwerking niet-lareb,,,
Melding lareb,16,,Voorlopige aanvullende informatie toedieningsafspraak,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.3.999,Melding lareb,,,
Medicatiebewaking OT,17,,Voorlopige aanvullende informatie toedieningsafspraak,2.16.840.1.113883.2.4.3.11.60.20.77.5.2.3.999,Medicatiebewaking OT,,,
