ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
Bovenwoning,BOVENW,,WoningType,2.16.840.1.113883.2.4.3.11.60.40.4.13.1,Bovenwoning,,,
Benedenwoning,BENEDENW,,WoningType,2.16.840.1.113883.2.4.3.11.60.40.4.13.1,Benedenwoning,,,
Eengezinswoning,EENGEZW,,WoningType,2.16.840.1.113883.2.4.3.11.60.40.4.13.1,Eengezinswoning,,,
Appartement of flatwoning,FLATW,,WoningType,2.16.840.1.113883.2.4.3.11.60.40.4.13.1,Appartement of flatwoning,,,
Aanleunwoning,AANLW,,WoningType,2.16.840.1.113883.2.4.3.11.60.40.4.13.1,Aanleunwoning,,,
Woonboot,WOONB,,WoningType,2.16.840.1.113883.2.4.3.11.60.40.4.13.1,Woonboot,,,
Woonwagen,WOONW,,WoningType,2.16.840.1.113883.2.4.3.11.60.40.4.13.1,Woonwagen,,,
Instelling WLZ,WLZIN,,WoningType,2.16.840.1.113883.2.4.3.11.60.40.4.13.1,Instelling WLZ,,,
Instelling ZVW,ZVWIN,,WoningType,2.16.840.1.113883.2.4.3.11.60.40.4.13.1,Instelling ZVW,,,
Instelling WMO,WMOIN,,WoningType,2.16.840.1.113883.2.4.3.11.60.40.4.13.1,Instelling WMO,,,
Asielzoekers-centrum,AZC,,WoningType,2.16.840.1.113883.2.4.3.11.60.40.4.13.1,Asielzoekers-centrum,,,
Dakloos,DAKLOO,,WoningType,2.16.840.1.113883.2.4.3.11.60.40.4.13.1,Dakloos,,,
Anders,OTH,,NullFlavor,2.16.840.1.113883.5.1008,Anders,,,
