ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
ycNX,ycNX,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycNX,,,
ycNX(f),ycNX(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycNX(f),,,
ycNX(sn),ycNX(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycNX(sn),,,
ycN0,ycN0,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN0,,,
ycN0(f),ycN0(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN0(f),,,
ycN0(sn),ycN0(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN0(sn),,,
ycN0(i-),ycN0(i-),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN0(i-),,,
ycN0(i-)(sn),ycN0(i-)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN0(i-)(sn),,,
ycN0(i+),ycN0(i+),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN0(i+),,,
ycN0(i+)(sn),ycN0(i+)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN0(i+)(sn),,,
ycN0(mol-),ycN0(mol-),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN0(mol-),,,
ycN0(mol-)(sn),ycN0(mol-)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN0(mol-)(sn),,,
ycN0(mol+),ycN0(mol+),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN0(mol+),,,
ycN0(mol+)(sn),ycN0(mol+)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN0(mol+)(sn),,,
ycN1,ycN1,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN1,,,
ycN1(f),ycN1(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN1(f),,,
ycN1(sn),ycN1(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN1(sn),,,
ycN1mi,ycN1mi,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN1mi,,,
ycN1mi(f),ycN1mi(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN1mi(f),,,
ycN1mi(sn),ycN1mi(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN1mi(sn),,,
ycN1a,ycN1a,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN1a,,,
ycN1a(f),ycN1a(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN1a(f),,,
ycN1a(sn),ycN1a(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN1a(sn),,,
ycN1b,ycN1b,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN1b,,,
ycN1b(f),ycN1b(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN1b(f),,,
ycN1b(sn),ycN1b(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN1b(sn),,,
ycN1c,ycN1c,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN1c,,,
ycN1c(f),ycN1c(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN1c(f),,,
ycN1c(sn),ycN1c(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN1c(sn),,,
ycN2,ycN2,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN2,,,
ycN2(f),ycN2(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN2(f),,,
ycN2(sn),ycN2(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN2(sn),,,
ycN2a,ycN2a,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN2a,,,
ycN2a(f),ycN2a(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN2a(f),,,
ycN2a(sn),ycN2a(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN2a(sn),,,
ycN2b,ycN2b,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN2b,,,
ycN2b(f),ycN2b(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN2b(f),,,
ycN2b(sn),ycN2b(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN2b(sn),,,
ycN2c,ycN2c,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ycN2c,,,
