ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
ycTx,ycTx,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycTx,,,
ycT0,ycT0,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT0,,,
ycTa,ycTa,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycTa,,,
ycTis,ycTis,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycTis,,,
ycTis (DCIS),ycTis (DCIS),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycTis (DCIS),,,
ycTis (LAMN),ycTis (LAMN),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycTis (LAMN),,,
ycTis (LCIS),ycTis (LCIS),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycTis (LCIS),,,
ycTis (Paget),ycTis (Paget),,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycTis (Paget),,,
ycTis pu,ycTis pu,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycTis pu,,,
ycT1,ycT1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT1,,,
ycT1mi,ycT1mi,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT1mi,,,
ycT1a,ycT1a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT1a,,,
ycT1a1,ycT1a1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT1a1,,,
ycT1a2,ycT1a2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT1a2,,,
ycT1b,ycT1b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT1b,,,
ycT1b1,ycT1b1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT1b1,,,
ycT1b2,ycT1b2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT1b2,,,
ycT1c,ycT1c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT1c,,,
ycT1c1,ycT1c1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT1c1,,,
ycT1c2,ycT1c2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT1c2,,,
ycT1c3,ycT1c3,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT1c3,,,
ycT1d,ycT1d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT1d,,,
ycT2,ycT2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT2,,,
ycT2a,ycT2a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT2a,,,
ycT2a1,ycT2a1,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT2a1,,,
ycT2a2,ycT2a2,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT2a2,,,
ycT2b,ycT2b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT2b,,,
ycT2c,ycT2c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT2c,,,
ycT2d,ycT2d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT2d,,,
ycT3,ycT3,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT3,,,
ycT3a,ycT3a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT3a,,,
ycT3b,ycT3b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT3b,,,
ycT3c,ycT3c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT3c,,,
ycT3d,ycT3d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT3d,,,
ycT3e,ycT3e,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT3e,,,
ycT4,ycT4,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT4,,,
ycT4a,ycT4a,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT4a,,,
ycT4b,ycT4b,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT4b,,,
ycT4c,ycT4c,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT4c,,,
ycT4d,ycT4d,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT4d,,,
ycT4e,ycT4e,,T_PrimaireTumor,2.16.840.1.113883.2.4.3.11.60.40.4.10.10,ycT4e,,,
