ZIB_Conceptnaam,ZIB_Conceptcode,ZIB_Conceptwaarde,ZIB_Codestelselnaam,ZIB_Codesysteem_OID,ZIB_Omschrijving,openEHR_Code,openEHR_Text,Commentaar
ypNX,ypNX,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypNX,,,
ypNX(f),ypNX(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypNX(f),,,
ypNX(sn),ypNX(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypNX(sn),,,
ypN0,ypN0,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN0,,,
ypN0(f),ypN0(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN0(f),,,
ypN0(sn),ypN0(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN0(sn),,,
ypN0(i-),ypN0(i-),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN0(i-),,,
ypN0(i-)(sn),ypN0(i-)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN0(i-)(sn),,,
ypN0(i+),ypN0(i+),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN0(i+),,,
ypN0(i+)(sn),ypN0(i+)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN0(i+)(sn),,,
ypN0(mol-),ypN0(mol-),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN0(mol-),,,
ypN0(mol-)(sn),ypN0(mol-)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN0(mol-)(sn),,,
ypN0(mol+),ypN0(mol+),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN0(mol+),,,
ypN0(mol+)(sn),ypN0(mol+)(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN0(mol+)(sn),,,
ypN1,ypN1,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN1,,,
ypN1(f),ypN1(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN1(f),,,
ypN1(sn),ypN1(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN1(sn),,,
ypN1mi,ypN1mi,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN1mi,,,
ypN1mi(f),ypN1mi(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN1mi(f),,,
ypN1mi(sn),ypN1mi(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN1mi(sn),,,
ypN1a,ypN1a,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN1a,,,
ypN1a(f),ypN1a(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN1a(f),,,
ypN1a(sn),ypN1a(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN1a(sn),,,
ypN1b,ypN1b,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN1b,,,
ypN1b(f),ypN1b(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN1b(f),,,
ypN1b(sn),ypN1b(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN1b(sn),,,
ypN1c,ypN1c,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN1c,,,
ypN1c(f),ypN1c(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN1c(f),,,
ypN1c(sn),ypN1c(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN1c(sn),,,
ypN2,ypN2,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN2,,,
ypN2(f),ypN2(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN2(f),,,
ypN2(sn),ypN2(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN2(sn),,,
ypN2a,ypN2a,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN2a,,,
ypN2a(f),ypN2a(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN2a(f),,,
ypN2a(sn),ypN2a(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN2a(sn),,,
ypN2b,ypN2b,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN2b,,,
ypN2b(f),ypN2b(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN2b(f),,,
ypN2b(sn),ypN2b(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN2b(sn),,,
ypN2c,ypN2c,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN2c,,,
ypN2c(f),ypN2c(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN2c(f),,,
ypN2c(sn),ypN2c(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN2c(sn),,,
ypN3,ypN3,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN3,,,
ypN3(f),ypN3(f),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN3(f),,,
ypN3(sn),ypN3(sn),,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN3(sn),,,
ypN3a,ypN3a,,N_RegionaleLymfeklieren,2.16.840.1.113883.2.4.3.11.60.40.4.10.11,ypN3a,,,
